                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    6728814 |    6728731 |    6728376
  Cycles                             |   16497586 |   16497586 |   16497586
  IPC                                |       0.41 |       0.41 |       0.41
  Time (ns)                          |    6202100 |    6202100 |    6202100
  Idle time (ns)                     |      -1512 |        -18 |        -18
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     259678 |     259677 |     259636
  num incorrect                      |       3961 |       3961 |       3929
  misprediction rate                 |      1.50% |      1.50% |      1.49%
  mpki                               |       0.59 |       0.59 |       0.58
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |     680639 |     680635 |     680574
    num misses                       |         62 |         62 |         60
    miss rate                        |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |           
    num accesses                     |    3650233 |    3650243 |    3650088
    num misses                       |        107 |        107 |        104
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |           
    num accesses                     |        169 |        169 |        164
    num misses                       |        147 |        147 |        146
    miss rate                        |     86.98% |     86.98% |     89.02%
    mpki                             |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |     680639 |     680635 |     680574
    num cache misses                 |      23008 |      22624 |      23350
    miss rate                        |      3.38% |      3.32% |      3.43%
    mpki                             |       3.42 |       3.36 |       3.47
  Cache L1-D                         |            |            |           
    num cache accesses               |    3650233 |    3650243 |    3650088
    num cache misses                 |      15625 |      15585 |      15538
    miss rate                        |      0.43% |      0.43% |      0.43%
    mpki                             |       2.32 |       2.32 |       2.31
  Cache L2                           |            |            |           
    num cache accesses               |      38662 |      38240 |      38914
    num cache misses                 |      15534 |      15386 |      15575
    miss rate                        |     40.18% |     40.24% |     40.02%
    mpki                             |       2.31 |       2.29 |       2.31
  Cache L3                           |            |            |           
    num cache accesses               |      15605 |      15455 |      15633
    num cache misses                 |       4402 |       4400 |       4359
    miss rate                        |     28.21% |     28.47% |     27.88%
    mpki                             |       0.65 |       0.65 |       0.65
DRAM summary                         |            |            |           
  num dram accesses                  |      13161 |          0 |          0
  average dram access latency (ns)   |      61.55 |        inf |        inf
  average dram queueing delay        |       8.12 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1334 |       1336 |       1321
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
