                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    6725695 |    6723136 |    6728747 |    6728241 |    6707737 |    6707254 |    6719275 |    6714059
  Cycles                             |   24074596 |   24074596 |   24074596 |   24074596 |   24074596 |   24074596 |   24074596 |   24074596
  IPC                                |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |    9050600 |    9050600 |    9050600 |    9050600 |    9050600 |    9050600 |    9050600 |    9050600
  Idle time (ns)                     |         10 |        -58 |        -99 |        189 |         -3 |        -47 |        -58 |        -99
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     259565 |     259514 |     259678 |     259631 |     259209 |     259200 |     259438 |     259334
  num incorrect                      |       3911 |       3911 |       3961 |       3917 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.48% |      1.48% |      1.50% |      1.49% |      1.49% |      1.49% |      1.49% |      1.49%
  mpki                               |       0.58 |       0.58 |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     680344 |     680145 |     680639 |     680551 |     678951 |     678914 |     679846 |     679441
    num misses                       |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3648675 |    3647330 |    3650202 |    3649974 |    3639332 |    3639080 |    3645337 |    3642606
    num misses                       |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     680344 |     680145 |     680639 |     680551 |     678951 |     678914 |     679846 |     679441
    num cache misses                 |     306727 |     307659 |     305941 |     305586 |     309552 |     309722 |     305794 |     304399
    miss rate                        |     45.08% |     45.23% |     44.95% |     44.90% |     45.59% |     45.62% |     44.98% |     44.80%
    mpki                             |      45.61 |      45.76 |      45.47 |      45.42 |      46.15 |      46.18 |      45.51 |      45.34
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3648675 |    3647330 |    3650202 |    3649974 |    3639332 |    3639080 |    3645337 |    3642606
    num cache misses                 |      61010 |      60262 |      58627 |      59087 |      60349 |      60191 |      60442 |      61407
    miss rate                        |      1.67% |      1.65% |      1.61% |      1.62% |      1.66% |      1.65% |      1.66% |      1.69%
    mpki                             |       9.07 |       8.96 |       8.71 |       8.78 |       9.00 |       8.97 |       9.00 |       9.15
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |     367759 |     367942 |     364592 |     364693 |     369923 |     369935 |     366258 |     365828
    num cache misses                 |      33098 |      32840 |      32806 |      32879 |      32864 |      32996 |      33067 |      33041
    miss rate                        |      9.00% |      8.93% |      9.00% |      9.02% |      8.88% |      8.92% |      9.03% |      9.03%
    mpki                             |       4.92 |       4.88 |       4.88 |       4.89 |       4.90 |       4.92 |       4.92 |       4.92
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      33135 |      32881 |      32851 |      32921 |      32899 |      33033 |      33100 |      33074
    num cache misses                 |       4335 |       4335 |       4398 |       4344 |       4335 |       4335 |       4335 |       4335
    miss rate                        |     13.08% |     13.18% |     13.39% |     13.20% |     13.18% |     13.12% |     13.10% |     13.11%
    mpki                             |       0.64 |       0.64 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65 |       0.65
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      34752 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      67.35 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      13.93 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1869 |       1886 |       1868 |       1861 |       1860 |       1856 |       1862 |       1878
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
