                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |    6722792 |    6719097 |    6719610 |    6724814 |    6722358 |    6721915 |    6728840 |    6717383 |    6715312 |    6724553 |    6716319 |    6717501
  Cycles                             |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138 |   33248138
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300 |   12499300
  Idle time (ns)                     |         73 |        -99 |        -18 |        -38 |        107 |         48 |       -104 |         61 |        -38 |          6 |         15 |        -54
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     259507 |     259434 |     259444 |     259548 |     259499 |     259490 |     259678 |     259400 |     259360 |     259541 |     259379 |     259402
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.48% |      1.49% |      1.49% |      1.48% |      1.48% |      1.48% |      1.50% |      1.49% |      1.49% |      1.48% |      1.49% |      1.49%
  mpki                               |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58 |       0.59 |       0.58 |       0.58 |       0.58 |       0.58 |       0.58
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     680118 |     679832 |     679872 |     680276 |     680085 |     680051 |     680639 |     679699 |     679539 |     680254 |     679616 |     679708
    num misses                       |         60 |         60 |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3647159 |    3645232 |    3645510 |    3648205 |    3646938 |    3646706 |    3650243 |    3644348 |    3643275 |    3648080 |    3643798 |    3644412
    num misses                       |        101 |        101 |        101 |        101 |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        161 |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        146 |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
