                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    6697387 |    6728768 |    6725857 |    6709266
  Cycles                             |   11154444 |   11154444 |   11154444 |   11154444
  IPC                                |       0.60 |       0.60 |       0.60 |       0.60
  Time (ns)                          |    4193400 |    4193400 |    4193400 |    4193400
  Idle time (ns)                     |        -16 |        -16 |         28 |         40
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |     259005 |     259678 |     259568 |     259240
  num incorrect                      |       3911 |       3961 |       3911 |       3911
  misprediction rate                 |      1.49% |      1.50% |      1.48% |      1.49%
  mpki                               |       0.58 |       0.59 |       0.58 |       0.58
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     678149 |     680639 |     680357 |     679070
    num misses                       |         60 |         62 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    3633941 |    3650212 |    3648761 |    3640130
    num misses                       |        101 |        107 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |           
    num accesses                     |        161 |        169 |        161 |        161
    num misses                       |        146 |        147 |        146 |        146
    miss rate                        |     90.68% |     86.98% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     678149 |     680639 |     680357 |     679070
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3633941 |    3650212 |    3648761 |    3640130
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
