                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |    6535538 |    6538617 |    6530005 |    6537339 |    6728828 |    6529012 |    6535699 |    6537396 |    6625547 |    6556365 |    6527278 |    6538189 |    6544767
  Cycles                             |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702 |   41428702
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16 |       0.16
  Time (ns)                          |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700 |   15574700
  Idle time (ns)                     |        133 |        133 |         58 |        -11 |        -93 |        -27 |         25 |         25 |         58 |        -93 |        -95 |        160 |        -27
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     255808 |     255869 |     255698 |     255843 |     259678 |     255679 |     255811 |     255844 |     257586 |     256219 |     255642 |     255861 |     255991
  num incorrect                      |       3911 |       3911 |       3911 |       3911 |       3961 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.51% |      1.51% |      1.51% |      1.51% |      1.50% |      1.51% |      1.51% |      1.51% |      1.50% |      1.50% |      1.51% |      1.51% |      1.50%
  mpki                               |       0.60 |       0.60 |       0.60 |       0.60 |       0.59 |       0.60 |       0.60 |       0.60 |       0.59 |       0.60 |       0.60 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |     665602 |     665841 |     665173 |     665741 |     680639 |     665096 |     665615 |     665746 |     672580 |     667216 |     664953 |     665808 |     666318
    num misses                       |         60 |         60 |         60 |         60 |         62 |         60 |         60 |         60 |         60 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3549751 |    3551353 |    3546877 |    3550685 |    3650237 |    3546358 |    3549840 |    3550721 |    3596577 |    3560581 |    3545401 |    3551135 |    3554550
    num misses                       |        101 |        101 |        101 |        101 |        107 |        101 |        101 |        101 |        101 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        161 |        161 |        161 |        161 |        169 |        161 |        161 |        161 |        161 |        161 |        161 |        161 |        161
    num misses                       |        146 |        146 |        146 |        146 |        147 |        146 |        146 |        146 |        146 |        146 |        146 |        146 |        146
    miss rate                        |     90.68% |     90.68% |     90.68% |     90.68% |     86.98% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     665602 |     665841 |     665173 |     665741 |     680639 |     665096 |     665615 |     665746 |     672580 |     667216 |     664953 |     665808 |     666318
    num cache misses                 |     402387 |     401363 |     396961 |     397832 |     368581 |     394376 |     393784 |     393926 |     385198 |     389270 |     393623 |     390643 |     389636
    miss rate                        |     60.45% |     60.28% |     59.68% |     59.76% |     54.15% |     59.30% |     59.16% |     59.17% |     57.27% |     58.34% |     59.20% |     58.67% |     58.48%
    mpki                             |      61.57 |      61.38 |      60.79 |      60.86 |      54.78 |      60.40 |      60.25 |      60.26 |      58.14 |      59.37 |      60.30 |      59.75 |      59.53
