                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    6416970 |    6419813 |    6418424 |    6485836 |    6728828 |    6411762 |    6427215 |    6448506 |    6420137 |    6424958 |    6447181 |    6452577 |    6460812 |    6442590 |    6447461 |    6524445
  Cycles                             |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876 |   57345876
  IPC                                |       0.11 |       0.11 |       0.11 |       0.11 |       0.12 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Time (ns)                          |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600 |   21558600
  Idle time (ns)                     |         10 |        181 |         10 |        -44 |        -60 |        181 |        -60 |        158 |        102 |         -4 |         -9 |        134 |        102 |        102 |        158 |        158
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     252587 |     252618 |     252603 |     254563 |     259678 |     252519 |     252799 |     253508 |     252621 |     252673 |     253490 |     253551 |     253983 |     253433 |     253495 |     255589
  num incorrect                      |       3866 |       3868 |       3866 |       3895 |       3961 |       3864 |       3870 |       3879 |       3868 |       3868 |       3879 |       3881 |       3887 |       3878 |       3879 |       3911
  misprediction rate                 |      1.51% |      1.51% |      1.51% |      1.51% |      1.50% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51% |      1.51%
  mpki                               |       0.60 |       0.60 |       0.60 |       0.60 |       0.59 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60 |       0.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
