                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |    6728743 |    6642929 |    6627343 |    6617679 |    6602153
  Cycles                             |   14069272 |   14069272 |   14069272 |   14069272 |   14069272
  IPC                                |       0.48 |       0.47 |       0.47 |       0.47 |       0.47
  Time (ns)                          |    5289200 |    5289200 |    5289200 |    5289200 |    5289200
  Idle time (ns)                     |        -93 |        -93 |        -25 |        -42 |        -45
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |     259678 |     257929 |     257621 |     257430 |     257124
  num incorrect                      |       3961 |       3911 |       3911 |       3911 |       3911
  misprediction rate                 |      1.50% |      1.49% |      1.50% |      1.50% |      1.50%
  mpki                               |       0.59 |       0.59 |       0.59 |       0.59 |       0.59
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |     680639 |     673927 |     672719 |     671969 |     670767
    num misses                       |         62 |         60 |         60 |         60 |         60
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |           
    num accesses                     |    3650201 |    3605616 |    3597512 |    3592482 |    3584409
    num misses                       |        107 |        101 |        101 |        101 |        101
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        169 |        161 |        161 |        161 |        161
    num misses                       |        147 |        146 |        146 |        146 |        146
    miss rate                        |     86.98% |     90.68% |     90.68% |     90.68% |     90.68%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |     680639 |     673927 |     672719 |     671969 |     670767
    num cache misses                 |     101893 |     114875 |     116704 |     116402 |     118561
    miss rate                        |     14.97% |     17.05% |     17.35% |     17.32% |     17.68%
    mpki                             |      15.14 |      17.29 |      17.61 |      17.59 |      17.96
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |    3650201 |    3605616 |    3597512 |    3592482 |    3584409
    num cache misses                 |      18883 |      18272 |      18358 |      18107 |      18019
    miss rate                        |      0.52% |      0.51% |      0.51% |      0.50% |      0.50%
    mpki                             |       2.81 |       2.75 |       2.77 |       2.74 |       2.73
  Cache L2                           |            |            |            |            |           
    num cache accesses               |     120802 |     133170 |     135085 |     134532 |     136604
    num cache misses                 |      17499 |      16668 |      16523 |      16439 |      16221
    miss rate                        |     14.49% |     12.52% |     12.23% |     12.22% |     11.87%
    mpki                             |       2.60 |       2.51 |       2.49 |       2.48 |       2.46
  Cache L3                           |            |            |            |            |           
    num cache accesses               |      17557 |      16732 |      16573 |      16487 |      16267
    num cache misses                 |       4398 |       4335 |       4335 |       4335 |       4335
    miss rate                        |     25.05% |     25.91% |     26.16% |     26.29% |     26.65%
    mpki                             |       0.65 |       0.65 |       0.65 |       0.66 |       0.66
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      21738 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.93 |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.50 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       1694 |       1708 |       1715 |       1731 |       1711
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
