                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |  106203617 |  108033159 |  107789072 |  107590246 |  107356243 |  107219531 |  107091639 |  106946412 |  106768638 |  106557950 |  106344612
  Cycles                             |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520 |  355301520
  IPC                                |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30 |       0.30
  Time (ns)                          |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000 |  133572000
  Idle time (ns)                     |         40 |        -66 |         -1 |         -2 |         39 |        -10 |        -44 |         25 |         -7 |        -32 |         20
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16811699 |   17101784 |   17058117 |   17026082 |   16993705 |   16972375 |   16950506 |   16926763 |   16902273 |   16868910 |   16834007
  num incorrect                      |     276378 |     281892 |     280524 |     280001 |     279736 |     279520 |     279057 |     278587 |     278375 |     277650 |     276871
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.60 |       2.61 |       2.60 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60 |       2.61 |       2.61 |       2.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16372279 |   16653068 |   16622068 |   16595588 |   16553397 |   16529770 |   16509967 |   16492745 |   16460787 |   16426752 |   16394308
    num misses                       |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
