                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  108033195 |  107829583 |  107685103 |  107488710 |  107353228 |  107216288 |  107114240 |  107034360 |  106864574 |  106645530 |  106527854 |  106408706
  Cycles                             |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740 |  391389740
  IPC                                |       0.28 |       0.28 |       0.28 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27
  Time (ns)                          |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000 |  147139000
  Idle time (ns)                     |        -78 |         43 |          5 |        -42 |         38 |         37 |        -78 |        123 |         27 |         86 |         57 |         -6
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17101784 |   17067420 |   17039400 |   17012040 |   16993303 |   16971820 |   16954567 |   16939898 |   16915639 |   16882883 |   16863961 |   16844497
  num incorrect                      |     281892 |     280747 |     280114 |     279892 |     279730 |     279511 |     279164 |     278765 |     278479 |     277994 |     277544 |     277106
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60 |       2.60 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16653068 |   16624430 |   16612848 |   16577297 |   16552866 |   16529237 |   16513018 |   16505630 |   16478151 |   16440059 |   16422195 |   16403974
    num misses                       |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
