                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |  108033162 |  107806665 |  107629473 |  107403263 |  107249919 |  107117525 |  107015333 |  106886411 |  106738611 |  106597260 |  106434680 |  106293462 |  106174829
  Cycles                             |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952 |  419181952
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25 |       0.25
  Time (ns)                          |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200 |  157587200
  Idle time (ns)                     |        -59 |        -20 |         65 |         52 |         32 |        -44 |        -22 |        -22 |        -23 |         82 |         82 |        -48 |         65
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   17101784 |   17062101 |   17031564 |   17000205 |   16977596 |   16955118 |   16936963 |   16918523 |   16897958 |   16875301 |   16848790 |   16825613 |   16807033
  num incorrect                      |     281892 |     280617 |     280053 |     279787 |     279575 |     279185 |     278702 |     278520 |     278327 |     277790 |     277196 |     276694 |     276284
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60 |       2.61 |       2.61 |       2.61 |       2.60 |       2.60 |       2.60
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16653068 |   16622971 |   16602710 |   16561873 |   16534816 |   16513497 |   16504270 |   16481988 |   16455386 |   16432635 |   16407873 |   16386623 |   16367808
    num misses                       |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   39205549 |   39122027 |   39070702 |   38982548 |   38925665 |   38878740 |   38851931 |   38802599 |   38745121 |   38693769 |   38632836 |   38579689 |   38535794
    num misses                       |       1052 |       1035 |       1034 |       1034 |       1034 |       1034 |       1034 |       1032 |       1032 |       1030 |       1030 |       1030 |       1030
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1204 |       1173 |       1172 |       1172 |       1172 |       1172 |       1172 |       1170 |       1170 |       1168 |       1168 |       1168 |       1168
    num misses                       |        363 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.15% |     30.18% |     30.20% |     30.20% |     30.20% |     30.20% |     30.20% |     30.26% |     30.26% |     30.31% |     30.31% |     30.31% |     30.31%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16653068 |   16622971 |   16602710 |   16561873 |   16534816 |   16513497 |   16504270 |   16481988 |   16455386 |   16432635 |   16407873 |   16386623 |   16367808
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   39205549 |   39122027 |   39070702 |   38982548 |   38925665 |   38878740 |   38851931 |   38802599 |   38745121 |   38693769 |   38632836 |   38579689 |   38535794
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
