                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |  107089925 |  106976906 |  108033233 |  107879558 |  107830982 |  107747840 |  107642710 |  107559586 |  107506591 |  107452608 |  107392457 |  107346111 |  107278605 |  107201750
  Cycles                             |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506 |  465936506
  IPC                                |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23 |       0.23
  Time (ns)                          |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100 |  175164100
  Idle time (ns)                     |        -15 |        -51 |       -104 |        -62 |         56 |        -27 |        -27 |        -27 |        -75 |        -70 |         44 |         27 |        -35 |        -82
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16950194 |   16931080 |   17101784 |   17077028 |   17067675 |   17049901 |   17033416 |   17021815 |   17014532 |   17007107 |   16998691 |   16992307 |   16982535 |   16969349
  num incorrect                      |     279046 |     278621 |     281892 |     281002 |     280755 |     280318 |     280057 |     279963 |     279916 |     279854 |     279772 |     279718 |     279631 |     279485
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60 |       2.61 |       2.60 |       2.60 |       2.60 |       2.60 |       2.60 |       2.60 |       2.60 |       2.61 |       2.61 |       2.61 |       2.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16509728 |   16498318 |   16653068 |   16630795 |   16624605 |   16619496 |   16605101 |   16590045 |   16580540 |   16570840 |   16559908 |   16551569 |   16539563 |   16526825
    num misses                       |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   38868533 |   38837890 |   39205586 |   39144290 |   39127428 |   39110310 |   39075853 |   39043699 |   39022756 |   39001514 |   38978397 |   38960217 |   38934749 |   38910242
    num misses                       |       1034 |       1032 |       1052 |       1035 |       1035 |       1035 |       1034 |       1033 |       1034 |       1034 |       1034 |       1034 |       1034 |       1033
