                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |  104109959 |   96141971 |  101397340 |  105660640 |   99416548 |   98803201 |  108033173 |   97811658 |   97278987 |   97129076 |   96967812 |   96749186 |   96587380 |   96396223 |   96267438
  Cycles                             |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338 |  495875338
  IPC                                |       0.21 |       0.19 |       0.20 |       0.21 |       0.20 |       0.20 |       0.22 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.19 |       0.19 |       0.19
  Time (ns)                          |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300 |  186419300
  Idle time (ns)                     |          7 |        -38 |         52 |        -38 |        -51 |        -93 |       -111 |        154 |          7 |         54 |        -93 |       -111 |         -1 |        -72 |        -51
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   16468698 |   15159989 |   16023184 |   16723163 |   15697853 |   15597153 |   17101784 |   15434254 |   15346754 |   15322161 |   15295648 |   15259690 |   15233078 |   15201757 |   15180545
  num incorrect                      |     269403 |     244038 |     260531 |     274518 |     254111 |     252205 |     281892 |     249164 |     247532 |     247064 |     246572 |     245906 |     245408 |     244815 |     244429
  misprediction rate                 |      1.61% |      1.58% |      1.60% |      1.62% |      1.59% |      1.59% |      1.62% |      1.59% |      1.59% |      1.59% |      1.59% |      1.59% |      1.59% |      1.58% |      1.58%
  mpki                               |       2.59 |       2.54 |       2.57 |       2.60 |       2.56 |       2.55 |       2.61 |       2.55 |       2.54 |       2.54 |       2.54 |       2.54 |       2.54 |       2.54 |       2.54
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   16055661 |   14854470 |   15646586 |   16289404 |   15347831 |   15255522 |   16653068 |   15105992 |   15025652 |   15003241 |   14978922 |   14945847 |   14921486 |   14892819 |   14873256
    num misses                       |        138 |        138 |        138 |        138 |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37760712 |   34769033 |   36742197 |   38343133 |   35998442 |   35768045 |   39205552 |   35395963 |   35195958 |   35139508 |   35079057 |   34997006 |   34936286 |   34864498 |   34816135
    num misses                       |       1029 |       1020 |       1028 |       1029 |       1026 |       1025 |       1051 |       1023 |       1023 |       1022 |       1022 |       1022 |       1022 |       1022 |       1022
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1167 |       1158 |       1166 |       1167 |       1164 |       1163 |       1203 |       1161 |       1161 |       1160 |       1160 |       1160 |       1160 |       1160 |       1160
    num misses                       |        354 |        354 |        354 |        354 |        354 |        354 |        363 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.33% |     30.57% |     30.36% |     30.33% |     30.41% |     30.44% |     30.17% |     30.49% |     30.49% |     30.52% |     30.52% |     30.52% |     30.52% |     30.52% |     30.52%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   16055661 |   14854470 |   15646586 |   16289404 |   15347831 |   15255522 |   16653068 |   15105992 |   15025652 |   15003241 |   14978922 |   14945847 |   14921486 |   14892819 |   14873256
    num cache misses                 |    7922780 |    8072442 |    7996825 |    7860793 |    7998575 |    7980854 |    7668565 |    8027128 |    7983085 |    7957991 |    8038632 |    8141470 |    8129765 |    8139980 |    8121649
    miss rate                        |     49.35% |     54.34% |     51.11% |     48.26% |     52.12% |     52.31% |     46.05% |     53.14% |     53.13% |     53.04% |     53.67% |     54.47% |     54.48% |     54.66% |     54.61%
    mpki                             |      76.10 |      83.96 |      78.87 |      74.40 |      80.46 |      80.78 |      70.98 |      82.07 |      82.06 |      81.93 |      82.90 |      84.15 |      84.17 |      84.44 |      84.37
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37760712 |   34769033 |   36742197 |   38343133 |   35998442 |   35768045 |   39205552 |   35395963 |   35195958 |   35139508 |   35079057 |   34997006 |   34936286 |   34864498 |   34816135
    num cache misses                 |    4217032 |    4437645 |    4279394 |    4177708 |    4279868 |    4287551 |    4115230 |    4371554 |    4438142 |    4433389 |    4465533 |    4460558 |    4462169 |    4476452 |    4479735
    miss rate                        |     11.17% |     12.76% |     11.65% |     10.90% |     11.89% |     11.99% |     10.50% |     12.35% |     12.61% |     12.62% |     12.73% |     12.75% |     12.77% |     12.84% |     12.87%
    mpki                             |      40.51 |      46.16 |      42.20 |      39.54 |      43.05 |      43.39 |      38.09 |      44.69 |      45.62 |      45.64 |      46.05 |      46.10 |      46.20 |      46.44 |      46.53
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   12145292 |   12515747 |   12282038 |   12043828 |   12284377 |   12274451 |   11788483 |   12404683 |   12427315 |   12397404 |   12510194 |   12607914 |   12597879 |   12622208 |   12606989
    num cache misses                 |    5789842 |    6516856 |    6008765 |    5623169 |    6184186 |    6250059 |    5409015 |    6395955 |    6513225 |    6517769 |    6532396 |    6516068 |    6535811 |    6559861 |    6555544
    miss rate                        |     47.67% |     52.07% |     48.92% |     46.69% |     50.34% |     50.92% |     45.88% |     51.56% |     52.41% |     52.57% |     52.22% |     51.68% |     51.88% |     51.97% |     52.00%
    mpki                             |      55.61 |      67.78 |      59.26 |      53.22 |      62.20 |      63.26 |      50.07 |      65.39 |      66.95 |      67.10 |      67.37 |      67.35 |      67.67 |      68.05 |      68.10
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5795738 |    6522861 |    6014978 |    5628895 |    6190531 |    6256507 |    5414043 |    6402368 |    6519712 |    6524207 |    6538822 |    6522397 |    6542141 |    6565995 |    6561513
    num cache misses                 |      38660 |      40415 |      40222 |      37491 |      41016 |      41650 |      34397 |      42332 |      42342 |      42053 |      42135 |      42157 |      41869 |      41106 |      40626
    miss rate                        |      0.67% |      0.62% |      0.67% |      0.67% |      0.66% |      0.67% |      0.64% |      0.66% |      0.65% |      0.64% |      0.64% |      0.65% |      0.64% |      0.63% |      0.62%
    mpki                             |       0.37 |       0.42 |       0.40 |       0.35 |       0.41 |       0.42 |       0.32 |       0.43 |       0.44 |       0.43 |       0.43 |       0.44 |       0.43 |       0.43 |       0.42
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     954991 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      60.04 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       6.61 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
