                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   96998014 |   96914374 |   97837732 |  105514768 |  104248103 |   97717464 |  108033173 |  100192205 |  103571196 |   99304756 |   98401535 |   97735945 |   97433869 |   97249623 |   97132688 |   99196409
  Cycles                             |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712 |  529002712
  IPC                                |       0.18 |       0.18 |       0.18 |       0.20 |       0.20 |       0.18 |       0.20 |       0.19 |       0.20 |       0.19 |       0.19 |       0.18 |       0.18 |       0.18 |       0.18 |       0.19
  Time (ns)                          |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200 |  198873200
  Idle time (ns)                     |         72 |        -39 |        111 |        233 |        110 |        -68 |        -68 |        -39 |        130 |        182 |          4 |        118 |          4 |         72 |         50 |        157
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   15300536 |   15286835 |   15438540 |   16699333 |   16491383 |   15418771 |   17101784 |   15825202 |   16380161 |   15679529 |   15531125 |   15421797 |   15372114 |   15341851 |   15322626 |   15661594
  num incorrect                      |     246669 |     246408 |     249242 |     274032 |     269857 |     248870 |     281892 |     256637 |     267644 |     253747 |     250976 |     248937 |     248008 |     247439 |     247071 |     253410
  misprediction rate                 |      1.59% |      1.59% |      1.59% |      1.61% |      1.61% |      1.59% |      1.62% |      1.60% |      1.61% |      1.59% |      1.59% |      1.59% |      1.59% |      1.59% |      1.59% |      1.59%
  mpki                               |       2.54 |       2.54 |       2.55 |       2.60 |       2.59 |       2.55 |       2.61 |       2.56 |       2.58 |       2.56 |       2.55 |       2.55 |       2.55 |       2.54 |       2.54 |       2.55
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   14983371 |   14970745 |   15109974 |   16267533 |   16076495 |   15091770 |   16653068 |   15464662 |   15974295 |   15331029 |   15194804 |   15094508 |   15049046 |   15021322 |   15003822 |   15314786
    num misses                       |        138 |        138 |        138 |        138 |        138 |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35090390 |   35059243 |   35405641 |   38288226 |   37812590 |   35360663 |   39205552 |   36289761 |   37558482 |   35956343 |   35617372 |   35367418 |   35254054 |   35184918 |   35141160 |   35915935
    num misses                       |       1022 |       1022 |       1023 |       1029 |       1029 |       1023 |       1051 |       1027 |       1029 |       1026 |       1025 |       1023 |       1023 |       1023 |       1022 |       1026
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       1160 |       1160 |       1161 |       1167 |       1167 |       1161 |       1203 |       1165 |       1167 |       1164 |       1163 |       1161 |       1161 |       1161 |       1160 |       1164
    num misses                       |        354 |        354 |        354 |        354 |        354 |        354 |        363 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.52% |     30.52% |     30.49% |     30.33% |     30.33% |     30.49% |     30.17% |     30.39% |     30.33% |     30.41% |     30.44% |     30.49% |     30.49% |     30.49% |     30.52% |     30.41%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   14983371 |   14970745 |   15109974 |   16267533 |   16076495 |   15091770 |   16653068 |   15464662 |   15974295 |   15331029 |   15194804 |   15094508 |   15049046 |   15021322 |   15003822 |   15314786
    num cache misses                 |    8413997 |    8366975 |    8306518 |    8199029 |    8240327 |    8340685 |    7997507 |    8275185 |    8288885 |    8308850 |    8305452 |    8287817 |    8383172 |    8388224 |    8399740 |    8316945
    miss rate                        |     56.16% |     55.89% |     54.97% |     50.40% |     51.26% |     55.27% |     48.02% |     53.51% |     51.89% |     54.20% |     54.66% |     54.91% |     55.71% |     55.84% |     55.98% |     54.31%
    mpki                             |      86.74 |      86.33 |      84.90 |      77.71 |      79.05 |      85.36 |      74.03 |      82.59 |      80.03 |      83.67 |      84.40 |      84.80 |      86.04 |      86.25 |      86.48 |      83.84
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
