                                     | Core 0     | Core 1    
  Instructions                       |  108033130 |  107550192
  Cycles                             |   80188892 |   80188892
  IPC                                |       1.35 |       1.34
  Time (ns)                          |   30146200 |   30146200
  Idle time (ns)                     |        -42 |        -42
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |   17101784 |   17020510
  num incorrect                      |     281892 |     279959
  misprediction rate                 |      1.62% |      1.62%
  mpki                               |       2.61 |       2.60
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   16653068 |   16588352
    num misses                       |        152 |        138
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   39205537 |   39040025
    num misses                       |       1051 |       1033
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |       1203 |       1171
    num misses                       |        363 |        354
    miss rate                        |     30.17% |     30.23%
    mpki                             |       0.00 |       0.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   16653068 |   16588352
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |   39205537 |   39040025
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
