                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |  104818815 |  104771324 |  108033151 |  106194009 |  105638138
  Cycles                             |  171602452 |  171602452 |  171602452 |  171602452 |  171602452
  IPC                                |       0.61 |       0.61 |       0.63 |       0.62 |       0.62
  Time (ns)                          |   64512200 |   64512200 |   64512200 |   64512200 |   64512200
  Idle time (ns)                     |        -51 |        -81 |        -81 |         12 |        -51
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |   16585072 |   16577242 |   17101784 |   16810162 |   16719476
  num incorrect                      |     271739 |     271579 |     281892 |     276352 |     274447
  misprediction rate                 |      1.61% |      1.61% |      1.62% |      1.62% |      1.61%
  mpki                               |       2.59 |       2.59 |       2.61 |       2.60 |       2.60
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |   16162448 |   16155291 |   16653068 |   16370646 |   16285991
    num misses                       |        138 |        138 |        152 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   38027006 |   38009266 |   39205539 |   38543128 |   38334665
    num misses                       |       1029 |       1029 |       1051 |       1029 |       1029
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |           
    num accesses                     |       1167 |       1167 |       1203 |       1167 |       1167
    num misses                       |        354 |        354 |        363 |        354 |        354
    miss rate                        |     30.33% |     30.33% |     30.17% |     30.33% |     30.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |   16162448 |   16155291 |   16653068 |   16370646 |   16285991
    num cache misses                 |    2519986 |    2468025 |    2347691 |    2452406 |    2464218
    miss rate                        |     15.59% |     15.28% |     14.10% |     14.98% |     15.13%
    mpki                             |      24.04 |      23.56 |      21.73 |      23.09 |      23.33
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   38027006 |   38009266 |   39205539 |   38543128 |   38334665
    num cache misses                 |     890979 |     883259 |     855712 |     878134 |     882054
    miss rate                        |      2.34% |      2.32% |      2.18% |      2.28% |      2.30%
    mpki                             |       8.50 |       8.43 |       7.92 |       8.27 |       8.35
  Cache L2                           |            |            |            |            |           
    num cache accesses               |    3411517 |    3351834 |    3203964 |    3331094 |    3346824
    num cache misses                 |     454919 |     451401 |     429246 |     454060 |     456185
    miss rate                        |     13.33% |     13.47% |     13.40% |     13.63% |     13.63%
    mpki                             |       4.34 |       4.31 |       3.97 |       4.28 |       4.32
  Cache L3                           |            |            |            |            |           
    num cache accesses               |     455477 |     451959 |     429815 |     454621 |     456744
    num cache misses                 |      10461 |      10461 |      10582 |      10461 |      10461
    miss rate                        |      2.30% |      2.31% |      2.46% |      2.30% |      2.29%
    mpki                             |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |      52597 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.27 |        inf |        inf |        inf |        inf
  average dram queueing delay        |       9.84 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |       5288 |       5327 |       5111 |       5374 |       5365
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
