                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  107726710 |  107640166 |  107527108 |  107337175 |  107131018 |  107040451 |  106971683 |  108033232
  Cycles                             |  267301006 |  267301006 |  267301006 |  267301006 |  267301006 |  267301006 |  267301006 |  267301006
  IPC                                |       0.40 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40 |       0.40
  Time (ns)                          |  100489100 |  100489100 |  100489100 |  100489100 |  100489100 |  100489100 |  100489100 |  100489100
  Idle time (ns)                     |         71 |         -7 |        -37 |        -21 |         11 |         99 |        -40 |        -41
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   17046413 |   17033059 |   17017346 |   16991056 |   16957503 |   16940835 |   16930352 |   17101784
  num incorrect                      |     280243 |     280055 |     279932 |     279704 |     279255 |     278787 |     278617 |     281892
  misprediction rate                 |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62% |      1.62%
  mpki                               |       2.60 |       2.60 |       2.60 |       2.61 |       2.61 |       2.60 |       2.60 |       2.61
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   16618004 |   16604637 |   16584208 |   16549941 |   16515331 |   16506068 |   16497379 |   16653068
    num misses                       |        138 |        138 |        138 |        138 |        138 |        138 |        138 |        152
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   39106048 |   39074875 |   39030880 |   38956780 |   38883767 |   38857543 |   38835851 |   39205586
    num misses                       |       1035 |       1034 |       1034 |       1033 |       1033 |       1034 |       1032 |       1052
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1173 |       1172 |       1172 |       1171 |       1171 |       1172 |       1170 |       1204
    num misses                       |        354 |        354 |        354 |        354 |        354 |        354 |        354 |        363
    miss rate                        |     30.18% |     30.20% |     30.20% |     30.23% |     30.23% |     30.20% |     30.26% |     30.15%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   16618004 |   16604637 |   16584208 |   16549941 |   16515331 |   16506068 |   16497379 |   16653068
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   39106048 |   39074875 |   39030880 |   38956780 |   38883767 |   38857543 |   38835851 |   39205586
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
