                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  103998900 |  108033151 |  104113598 |  107159722 |  106749202 |  105445332 |  104745644 |  104443380
  Cycles                             |  269745546 |  269745546 |  269745546 |  269745546 |  269745546 |  269745546 |  269745546 |  269745546
  IPC                                |       0.39 |       0.40 |       0.39 |       0.40 |       0.40 |       0.39 |       0.39 |       0.39
  Time (ns)                          |  101408100 |  101408100 |  101408100 |  101408100 |  101408100 |  101408100 |  101408100 |  101408100
  Idle time (ns)                     |        -16 |        -38 |         27 |          4 |         24 |        -38 |         50 |          4
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   16450409 |   17101784 |   16469250 |   16962288 |   16899575 |   16687936 |   16573023 |   16523342
  num incorrect                      |     269037 |     281892 |     269416 |     279363 |     278355 |     273802 |     271499 |     270511
  misprediction rate                 |      1.61% |      1.62% |      1.61% |      1.62% |      1.62% |      1.61% |      1.61% |      1.61%
  mpki                               |       2.59 |       2.61 |       2.59 |       2.61 |       2.61 |       2.60 |       2.59 |       2.59
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   16038988 |   16653068 |   16056277 |   16519502 |   16457274 |   16257041 |   16151381 |   16105868
    num misses                       |        138 |        152 |        138 |        138 |        138 |        138 |        138 |        138
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   37719127 |   39205539 |   37762182 |   38896479 |   38748924 |   38262176 |   37999540 |   37885994
    num misses                       |       1029 |       1051 |       1029 |       1033 |       1031 |       1029 |       1029 |       1029
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1167 |       1203 |       1167 |       1171 |       1169 |       1167 |       1167 |       1167
    num misses                       |        354 |        363 |        354 |        354 |        354 |        354 |        354 |        354
    miss rate                        |     30.33% |     30.17% |     30.33% |     30.23% |     30.28% |     30.33% |     30.33% |     30.33%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   16038988 |   16653068 |   16056277 |   16519502 |   16457274 |   16257041 |   16151381 |   16105868
    num cache misses                 |    5513770 |    4901095 |    5512284 |    4988780 |    5095615 |    5385512 |    5506522 |    5511279
    miss rate                        |     34.38% |     29.43% |     34.33% |     30.20% |     30.96% |     33.13% |     34.09% |     34.22%
    mpki                             |      53.02 |      45.37 |      52.94 |      46.55 |      47.73 |      51.07 |      52.57 |      52.77
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   37719127 |   39205539 |   37762182 |   38896479 |   38748924 |   38262176 |   37999540 |   37885994
    num cache misses                 |    1996445 |    1924018 |    2002068 |    1934394 |    1939506 |    1962046 |    1977061 |    1985309
    miss rate                        |      5.29% |      4.91% |      5.30% |      4.97% |      5.01% |      5.13% |      5.20% |      5.24%
    mpki                             |      19.20 |      17.81 |      19.23 |      18.05 |      18.17 |      18.61 |      18.87 |      19.01
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    7510895 |    6825798 |    7515037 |    6923838 |    7035790 |    7348257 |    7484278 |    7497277
    num cache misses                 |     920989 |     881630 |     925433 |     896766 |     906696 |     918292 |     921095 |     923107
    miss rate                        |     12.26% |     12.92% |     12.31% |     12.95% |     12.89% |     12.50% |     12.31% |     12.31%
    mpki                             |       8.86 |       8.16 |       8.89 |       8.37 |       8.49 |       8.71 |       8.79 |       8.84
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     921675 |     882333 |     926125 |     897440 |     907375 |     918997 |     921800 |     923804
    num cache misses                 |      11017 |      11130 |      11023 |      10975 |      10996 |      11050 |      11047 |      11043
    miss rate                        |      1.20% |      1.26% |      1.19% |      1.22% |      1.21% |      1.20% |      1.20% |      1.20%
    mpki                             |       0.11 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      95988 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      65.56 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      12.13 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       5986 |       5808 |       6004 |       5814 |       5846 |       6029 |       5999 |       6048
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
