                                     | Core 0     | Core 1    
  Instructions                       |    9979119 |    9978914
  Cycles                             |   19187644 |   19187644
  IPC                                |       0.52 |       0.52
  Time (ns)                          |    7213400 |    7213400
  Idle time (ns)                     |       -104 |       -109
  Idle time (%)                      |      -0.0% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |     301064 |     301040
  num incorrect                      |       1544 |       1524
  misprediction rate                 |      0.51% |      0.50%
  mpki                               |       0.15 |       0.15
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1097185 |    1097145
    num misses                       |         52 |         51
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    4596337 |    4596239
    num misses                       |         94 |         94
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01
  L2 TLB                             |            |           
    num accesses                     |        146 |        145
    num misses                       |        134 |        133
    miss rate                        |     91.78% |     91.72%
    mpki                             |       0.01 |       0.01
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1097185 |    1097145
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |    4596337 |    4596239
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
