                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    9976393 |    9979064 |    9977178
  Cycles                             |   20222384 |   20222384 |   20222384
  IPC                                |       0.49 |       0.49 |       0.49
  Time (ns)                          |    7602400 |    7602400 |    7602400
  Idle time (ns)                     |        -21 |        -58 |        -58
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     300919 |     301064 |     300939
  num incorrect                      |       1467 |       1544 |       1467
  misprediction rate                 |      0.49% |      0.51% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    1096836 |    1097185 |    1096917
    num misses                       |         48 |         52 |         48
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |    4595153 |    4596312 |    4595487
    num misses                       |         92 |         94 |         92
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |           
    num accesses                     |        140 |        146 |        140
    num misses                       |        129 |        134 |        129
    miss rate                        |     92.14% |     91.78% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    1096836 |    1097185 |    1096917
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |    4595153 |    4596312 |    4595487
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
