                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |    9979041 |    9816984 |    9898397 |    9807161 |    9842141 |    9858878 |    9824871 |    9826742 |    9829709 |    9952618 |    9816223
  Cycles                             |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882 |   76601882
  IPC                                |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700 |   28797700
  Idle time (ns)                     |         -9 |        126 |         -9 |        121 |         44 |        126 |         44 |        277 |        183 |        114 |        183
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     301064 |     296499 |     298757 |     296227 |     297197 |     297661 |     296717 |     296771 |     296853 |     300259 |     296479
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1097185 |    1079430 |    1088318 |    1078359 |    1082177 |    1084004 |    1080291 |    1080497 |    1080820 |    1094236 |    1079349
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4596297 |    4521788 |    4559240 |    4517272 |    4533369 |    4541070 |    4525420 |    4526283 |    4527646 |    4584199 |    4521444
    num misses                       |         94 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
