                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9775221 |    9844639 |    9804929 |    9839975 |    9949500 |    9946438 |    9830220 |    9959600 |    9863642 |    9963311 |    9888211 |    9978696 |    9911532 |    9955499 |    9979057 |    9928683
  Cycles                             |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190 |  146357190
  IPC                                |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07 |       0.07
  Time (ns)                          |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500 |   55021500
  Idle time (ns)                     |        239 |        488 |        154 |        391 |        453 |        154 |        488 |        219 |        369 |        369 |         80 |        239 |         46 |        208 |        -16 |        -16
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     295341 |     297266 |     296165 |     297138 |     300172 |     300087 |     296867 |     300453 |     297793 |     300555 |     298475 |     301024 |     299121 |     300339 |     301064 |     299596
  num incorrect                      |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1508 |       1467 |       1467 |       1544 |       1467
  misprediction rate                 |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.50% |      0.49% |      0.49% |      0.51% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1074871 |    1082449 |    1078115 |    1081941 |    1093894 |    1093561 |    1080876 |    1094999 |    1084523 |    1095403 |    1087207 |    1097117 |    1089753 |    1094551 |    1097185 |    1091624
    num misses                       |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         50 |         48 |         48 |         52 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4502574 |    4534518 |    4516245 |    4532369 |    4582764 |    4581357 |    4527878 |    4587413 |    4543259 |    4589120 |    4554565 |    4596181 |    4565297 |    4585527 |    4596308 |    4573188
    num misses                       |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         94 |         92 |         92 |         94 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        144 |        140 |        140 |        146 |        140
    num misses                       |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        132 |        129 |        129 |        134 |        129
    miss rate                        |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     91.67% |     92.14% |     92.14% |     91.78% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1074871 |    1082449 |    1078115 |    1081941 |    1093894 |    1093561 |    1080876 |    1094999 |    1084523 |    1095403 |    1087207 |    1097117 |    1089753 |    1094551 |    1097185 |    1091624
    num cache misses                 |     372131 |     367187 |     363328 |     362230 |     363624 |     362416 |     357828 |     360912 |     357115 |     358967 |     356566 |     356654 |     356592 |     357723 |     357781 |     356315
    miss rate                        |     34.62% |     33.92% |     33.70% |     33.48% |     33.24% |     33.14% |     33.11% |     32.96% |     32.93% |     32.77% |     32.80% |     32.51% |     32.72% |     32.68% |     32.61% |     32.64%
    mpki                             |      38.07 |      37.30 |      37.06 |      36.81 |      36.55 |      36.44 |      36.40 |      36.24 |      36.21 |      36.03 |      36.06 |      35.74 |      35.98 |      35.93 |      35.85 |      35.89
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4502574 |    4534518 |    4516245 |    4532369 |    4582764 |    4581357 |    4527878 |    4587413 |    4543259 |    4589120 |    4554565 |    4596181 |    4565297 |    4585527 |    4596308 |    4573188
    num cache misses                 |    2660803 |    2698036 |    2692570 |    2706096 |    2636663 |    2610690 |    2707749 |    2677050 |    2702844 |    2615630 |    2673154 |    2552081 |    2654367 |    2680211 |    2596561 |    2652220
    miss rate                        |     59.10% |     59.50% |     59.62% |     59.71% |     57.53% |     56.99% |     59.80% |     58.36% |     59.49% |     57.00% |     58.69% |     55.53% |     58.14% |     58.45% |     56.49% |     57.99%
    mpki                             |     272.20 |     274.06 |     274.61 |     275.01 |     265.00 |     262.47 |     275.45 |     268.79 |     274.02 |     262.53 |     270.34 |     255.75 |     267.81 |     269.22 |     260.20 |     267.13
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3032985 |    3065275 |    3055950 |    3068379 |    3000335 |    2973153 |    3065633 |    3038010 |    3060009 |    2974645 |    3029774 |    2908790 |    3011010 |    3037983 |    2954398 |    3008585
    num cache misses                 |    2765361 |    2779206 |    2798235 |    2797028 |    2694406 |    2689209 |    2800935 |    2739242 |    2789698 |    2697865 |    2780821 |    2692782 |    2778593 |    2735280 |    2696459 |    2779467
    miss rate                        |     91.18% |     90.67% |     91.57% |     91.16% |     89.80% |     90.45% |     91.37% |     90.17% |     91.17% |     90.70% |     91.78% |     92.57% |     92.28% |     90.04% |     91.27% |     92.38%
    mpki                             |     282.89 |     282.31 |     285.39 |     284.25 |     270.81 |     270.37 |     284.93 |     275.04 |     282.83 |     270.78 |     281.23 |     269.85 |     280.34 |     274.75 |     270.21 |     279.94
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    2765413 |    2779258 |    2798287 |    2797081 |    2694455 |    2689256 |    2800991 |    2739291 |    2789749 |    2697914 |    2780878 |    2692839 |    2778645 |    2735332 |    2696516 |    2779519
    num cache misses                 |       4041 |       4039 |       4034 |       4051 |       3987 |       3966 |       4068 |       4015 |       3993 |       3972 |       4017 |       3941 |       4009 |       4061 |       4078 |       4043
    miss rate                        |      0.15% |      0.15% |      0.14% |      0.14% |      0.15% |      0.15% |      0.15% |      0.15% |      0.14% |      0.15% |      0.14% |      0.15% |      0.14% |      0.15% |      0.15% |      0.15%
    mpki                             |       0.41 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.41 |       0.40 |       0.40 |       0.40 |       0.41 |       0.39 |       0.40 |       0.41 |       0.41 |       0.41
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      65919 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      84.94 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      31.51 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2505 |       2495 |       2490 |       2526 |       2438 |       2427 |       2534 |       2489 |       2475 |       2423 |       2495 |       2296 |       2485 |       2534 |       2484 |       2502
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
