                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    9979035 |    9949449 |    9961831
  Cycles                             |   21401296 |   21401296 |   21401296
  IPC                                |       0.47 |       0.46 |       0.47
  Time (ns)                          |    8045600 |    8045600 |    8045600
  Idle time (ns)                     |        -93 |        -44 |        -93
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     301064 |     300171 |     300515
  num incorrect                      |       1544 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    1097185 |    1093892 |    1095244
    num misses                       |         52 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |    4596294 |    4582751 |    4588426
    num misses                       |         94 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |           
    num accesses                     |        146 |        140 |        140
    num misses                       |        134 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    1097185 |    1093892 |    1095244
    num cache misses                 |       1467 |       1416 |       1426
    miss rate                        |      0.13% |      0.13% |      0.13%
    mpki                             |       0.15 |       0.14 |       0.14
  Cache L1-D                         |            |            |           
    num cache accesses               |    4596294 |    4582751 |    4588426
    num cache misses                 |     124393 |     132973 |     147842
    miss rate                        |      2.71% |      2.90% |      3.22%
    mpki                             |      12.47 |      13.36 |      14.84
  Cache L2                           |            |            |           
    num cache accesses               |     125898 |     134424 |     149304
    num cache misses                 |       3546 |       3434 |       3411
    miss rate                        |      2.82% |      2.55% |      2.28%
    mpki                             |       0.36 |       0.35 |       0.34
  Cache L3                           |            |            |           
    num cache accesses               |       3585 |       3471 |       3448
    num cache misses                 |       3219 |       3153 |       3153
    miss rate                        |     89.79% |     90.84% |     91.44%
    mpki                             |       0.32 |       0.32 |       0.32
DRAM summary                         |            |            |           
  num dram accesses                  |       9525 |          0 |          0
  average dram access latency (ns)   |      64.94 |        inf |        inf
  average dram queueing delay        |      11.51 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1140 |       1129 |       1127
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
