                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9979057 |    9927714 |    9838091 |    9829757 |    9750382 |    9729085 |    9690600 |    9654655 |    9648570
  Cycles                             |   49558726 |   49558726 |   49558726 |   49558726 |   49558726 |   49558726 |   49558726 |   49558726 |   49558726
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.19 |       0.19
  Time (ns)                          |   18631100 |   18631100 |   18631100 |   18631100 |   18631100 |   18631100 |   18631100 |   18631100 |   18631100
  Idle time (ns)                     |        -20 |         78 |         33 |         16 |        127 |        -20 |         33 |         44 |        127
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |     301064 |     299568 |     297086 |     296854 |     294654 |     294063 |     292998 |     292000 |     291830
  num incorrect                      |       1544 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.51% |      0.49% |      0.49% |      0.49% |      0.50% |      0.50% |      0.50% |      0.50% |      0.50%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1097185 |    1091517 |    1081736 |    1080825 |    1072162 |    1069835 |    1065637 |    1061711 |    1061045
    num misses                       |         52 |         48 |         48 |         48 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4596308 |    4572743 |    4531502 |    4527671 |    4491149 |    4481334 |    4463642 |    4447098 |    4444299
    num misses                       |         94 |         92 |         92 |         92 |         92 |         92 |         92 |         92 |         92
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |        146 |        140 |        140 |        140 |        140 |        140 |        140 |        140 |        140
    num misses                       |        134 |        129 |        129 |        129 |        129 |        129 |        129 |        129 |        129
    miss rate                        |     91.78% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14% |     92.14%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1097185 |    1091517 |    1081736 |    1080825 |    1072162 |    1069835 |    1065637 |    1061711 |    1061045
    num cache misses                 |     373910 |     363909 |     359178 |     355573 |     351238 |     348704 |     347077 |     345009 |     343079
    miss rate                        |     34.08% |     33.34% |     33.20% |     32.90% |     32.76% |     32.59% |     32.57% |     32.50% |     32.33%
    mpki                             |      37.47 |      36.66 |      36.51 |      36.17 |      36.02 |      35.84 |      35.82 |      35.73 |      35.56
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4596308 |    4572743 |    4531502 |    4527671 |    4491149 |    4481334 |    4463642 |    4447098 |    4444299
    num cache misses                 |     644483 |     615626 |     635192 |     632572 |     663262 |     659260 |     668796 |     696778 |     701841
    miss rate                        |     14.02% |     13.46% |     14.02% |     13.97% |     14.77% |     14.71% |     14.98% |     15.67% |     15.79%
    mpki                             |      64.58 |      62.01 |      64.56 |      64.35 |      68.02 |      67.76 |      69.01 |      72.17 |      72.74
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1018435 |     979579 |     994409 |     988186 |    1014539 |    1008004 |    1015913 |    1041829 |    1044960
    num cache misses                 |     613061 |     620066 |     631569 |     635522 |     643926 |     648674 |     653646 |     658091 |     660576
    miss rate                        |     60.20% |     63.30% |     63.51% |     64.31% |     63.47% |     64.35% |     64.34% |     63.17% |     63.22%
    mpki                             |      61.43 |      62.46 |      64.20 |      64.65 |      66.04 |      66.67 |      67.45 |      68.16 |      68.46
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     613104 |     620112 |     631610 |     635564 |     643967 |     648716 |     653688 |     658135 |     660619
    num cache misses                 |       3423 |       3362 |       3391 |       3370 |       3433 |       3439 |       3362 |       3367 |       3317
