                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |    9976993 |    9976799 |    9972230 |    9978082 |    9976443 |    9975055 |    9979074 |    9972418 |    9973862 |    9974857 |    9972558 |    9975492 |    9973140 |    9975412 |    9975264 |    9973978
  Cycles                             |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810 |   64580810
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500 |   24278500
  Idle time (ns)                     |        124 |        115 |         90 |        -91 |        124 |         76 |       -146 |        -33 |         80 |         68 |        -64 |        -64 |        115 |         48 |        108 |         90
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |     300934 |     300929 |     300802 |     300964 |     300919 |     300880 |     301064 |     300807 |     300848 |     300875 |     300811 |     300892 |     300827 |     300890 |     300886 |     300851
  num incorrect                      |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1544 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467 |       1467
  misprediction rate                 |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.51% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49% |      0.49%
  mpki                               |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
