                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |    9978619 |    9978507 |    9979041
  Cycles                             |   12121620 |   12121620 |   12121620
  IPC                                |       0.82 |       0.82 |       0.82
  Time (ns)                          |    4557000 |    4557000 |    4557000
  Idle time (ns)                     |        -67 |        -67 |        -83
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |     301017 |     301003 |     301064
  num incorrect                      |       1503 |       1498 |       1544
  misprediction rate                 |      0.50% |      0.50% |      0.51%
  mpki                               |       0.15 |       0.15 |       0.15
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    1097104 |    1097085 |    1097185
    num misses                       |         49 |         49 |         52
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |           
    num accesses                     |    4596144 |    4596086 |    4596301
    num misses                       |         94 |         92 |         94
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.01 |       0.01
  L2 TLB                             |            |            |           
    num accesses                     |        143 |        141 |        146
    num misses                       |        131 |        130 |        134
    miss rate                        |     91.61% |     92.20% |     91.78%
    mpki                             |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    1097104 |    1097085 |    1097185
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |           
    num cache accesses               |    4596144 |    4596086 |    4596301
    num cache misses                 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |           
    num cache accesses               |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |           
  num dram accesses                  |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
