                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |     137432 |     138275 |     138113 |     138457 |     138010 |     137999 |     137998 |     137886 |     137797 |     137505 |     137856 |     137603
  Cycles                             |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202 |     531202
  IPC                                |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26 |       0.26
  Time (ns)                          |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700 |     199700
  Idle time (ns)                     |         19 |        -30 |         50 |        -82 |          2 |         29 |         19 |        -82 |          2 |         34 |        -20 |         29
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30224 |      30316 |      30296 |      30327 |      30284 |      30283 |      30283 |      30270 |      30256 |      30231 |      30265 |      30238
  num incorrect                      |       1443 |       1506 |       1488 |       1519 |       1479 |       1478 |       1478 |       1473 |       1470 |       1448 |       1471 |       1454
  misprediction rate                 |      4.56% |      4.73% |      4.68% |      4.77% |      4.66% |      4.65% |      4.65% |      4.64% |      4.63% |      4.57% |      4.64% |      4.59%
  mpki                               |      10.50 |      10.89 |      10.77 |      10.97 |      10.72 |      10.71 |      10.71 |      10.68 |      10.67 |      10.53 |      10.67 |      10.57
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15288 |      15440 |      15403 |      15458 |      15381 |      15380 |      15380 |      15362 |      15343 |      15300 |      15354 |      15309
    num misses                       |         48 |         51 |         50 |         52 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.31% |      0.33% |      0.32% |      0.34% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.35 |       0.37 |       0.36 |       0.38 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39846 |      40197 |      40124 |      40242 |      40071 |      40059 |      40063 |      40002 |      39977 |      39869 |      39999 |      39909
    num misses                       |         71 |         72 |         72 |         72 |         72 |         72 |         72 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.51 |       0.52 |       0.52 |       0.52 |       0.52
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        119 |        123 |        122 |        124 |        122 |        122 |        122 |        120 |        120 |        120 |        120 |        120
    num misses                       |        117 |        121 |        120 |        122 |        120 |        120 |        120 |        118 |        118 |        118 |        118 |        118
    miss rate                        |     98.32% |     98.37% |     98.36% |     98.39% |     98.36% |     98.36% |     98.36% |     98.33% |     98.33% |     98.33% |     98.33% |     98.33%
    mpki                             |       0.85 |       0.88 |       0.87 |       0.88 |       0.87 |       0.87 |       0.87 |       0.86 |       0.86 |       0.86 |       0.86 |       0.86
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15288 |      15440 |      15403 |      15458 |      15381 |      15380 |      15380 |      15362 |      15343 |      15300 |      15354 |      15309
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      40197 |      40124 |      40242 |      40071 |      40059 |      40063 |      40002 |      39977 |      39869 |      39999 |      39909
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
