                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     137681 |     137390 |     138389 |     138096 |     138121 |     138050 |     137852 |     137849 |     138372 |     137849 |     138084 |     137601 |     137912
  Cycles                             |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092 |     575092
  IPC                                |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24 |       0.24
  Time (ns)                          |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200 |     216200
  Idle time (ns)                     |        -47 |        -10 |        -77 |         88 |         76 |        -77 |          7 |         48 |          7 |         65 |          2 |         48 |        -10
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30247 |      30200 |      30327 |      30293 |      30297 |      30288 |      30264 |      30264 |      30326 |      30264 |      30291 |      30238 |      30271
  num incorrect                      |       1458 |       1443 |       1519 |       1487 |       1489 |       1481 |       1471 |       1471 |       1519 |       1471 |       1486 |       1453 |       1474
  misprediction rate                 |      4.60% |      4.56% |      4.77% |      4.68% |      4.68% |      4.66% |      4.64% |      4.64% |      4.77% |      4.64% |      4.68% |      4.58% |      4.64%
  mpki                               |      10.59 |      10.50 |      10.98 |      10.77 |      10.78 |      10.73 |      10.67 |      10.67 |      10.98 |      10.67 |      10.76 |      10.56 |      10.69
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15318 |      15288 |      15458 |      15400 |      15404 |      15390 |      15353 |      15353 |      15455 |      15353 |      15397 |      15309 |      15368
    num misses                       |         49 |         48 |         52 |         50 |         50 |         50 |         49 |         49 |         51 |         49 |         50 |         49 |         49
    miss rate                        |      0.32% |      0.31% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.36 |       0.35 |       0.38 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.37 |       0.36 |       0.36 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39937 |      39846 |      40207 |      40116 |      40125 |      40087 |      39998 |      39998 |      40252 |      39998 |      40112 |      39905 |      40013
