                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |     137535 |     137490 |     138238 |     138173 |     138259 |     138456 |     138070 |     138121 |     138047 |     137931 |     137830 |     137783 |     137797 |     137813 |     137725
  Cycles                             |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084 |     658084
  IPC                                |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21 |       0.21
  Time (ns)                          |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400 |     247400
  Idle time (ns)                     |         97 |        117 |          5 |         84 |        -22 |        -30 |         45 |         97 |         84 |        117 |        160 |        160 |        -30 |        -22 |         82
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.1% |       0.1% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30231 |      30230 |      30307 |      30304 |      30312 |      30327 |      30288 |      30297 |      30287 |      30275 |      30261 |      30254 |      30256 |      30259 |      30249
  num incorrect                      |       1452 |       1445 |       1502 |       1498 |       1504 |       1519 |       1484 |       1489 |       1481 |       1474 |       1471 |       1469 |       1470 |       1471 |       1461
  misprediction rate                 |      4.58% |      4.56% |      4.72% |      4.71% |      4.73% |      4.77% |      4.67% |      4.68% |      4.66% |      4.64% |      4.64% |      4.63% |      4.63% |      4.64% |      4.61%
  mpki                               |      10.56 |      10.51 |      10.87 |      10.84 |      10.88 |      10.97 |      10.75 |      10.78 |      10.73 |      10.69 |      10.67 |      10.66 |      10.67 |      10.67 |      10.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15304 |      15298 |      15425 |      15415 |      15434 |      15458 |      15393 |      15404 |      15389 |      15369 |      15348 |      15339 |      15343 |      15347 |      15324
    num misses                       |         49 |         49 |         51 |         50 |         51 |         52 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49 |         49
