                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |     137783 |     137834 |     138177 |     138085 |     138220 |     138380 |     138186 |     138491 |     138185 |     138033 |     138066 |     137996 |     138004 |     138116 |     137979 |     137862
  Cycles                             |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166 |     705166
  IPC                                |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20 |       0.20
  Time (ns)                          |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100 |     265100
  Idle time (ns)                     |         38 |         82 |         -8 |        -87 |        -15 |        -15 |        -46 |        -87 |         58 |         74 |        105 |        -46 |        -73 |        -46 |         58 |         82
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30254 |      30263 |      30304 |      30284 |      30305 |      30327 |      30304 |      30327 |      30304 |      30284 |      30288 |      30283 |      30283 |      30296 |      30280 |      30267
  num incorrect                      |       1469 |       1471 |       1498 |       1480 |       1501 |       1519 |       1498 |       1519 |       1498 |       1481 |       1484 |       1477 |       1478 |       1489 |       1476 |       1472
  misprediction rate                 |      4.63% |      4.64% |      4.71% |      4.66% |      4.72% |      4.77% |      4.71% |      4.77% |      4.71% |      4.66% |      4.67% |      4.65% |      4.65% |      4.68% |      4.65% |      4.64%
  mpki                               |      10.66 |      10.67 |      10.84 |      10.72 |      10.86 |      10.98 |      10.84 |      10.97 |      10.84 |      10.73 |      10.75 |      10.70 |      10.71 |      10.78 |      10.70 |      10.68
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15339 |      15351 |      15415 |      15383 |      15422 |      15456 |      15416 |      15458 |      15416 |      15387 |      15393 |      15380 |      15380 |      15404 |      15376 |      15356
    num misses                       |         49 |         49 |         50 |         50 |         51 |         51 |         51 |         52 |         51 |         50 |         50 |         50 |         50 |         50 |         49 |         49
    miss rate                        |      0.32% |      0.32% |      0.32% |      0.33% |      0.33% |      0.33% |      0.33% |      0.34% |      0.33% |      0.32% |      0.32% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.36 |       0.36 |       0.36 |       0.36 |       0.37 |       0.37 |       0.37 |       0.38 |       0.37 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      39974 |      39994 |      40154 |      40058 |      40180 |      40262 |      40155 |      40262 |      40155 |      40085 |      40103 |      40060 |      40066 |      40120 |      40056 |      39999
    num misses                       |         71 |         71 |         72 |         71 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         72 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.52 |       0.51 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.52 |       0.51 |       0.52
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        120 |        120 |        122 |        121 |        123 |        123 |        123 |        124 |        123 |        122 |        122 |        122 |        122 |        122 |        120 |        120
    num misses                       |        118 |        118 |        120 |        119 |        121 |        121 |        121 |        122 |        121 |        120 |        120 |        120 |        120 |        120 |        118 |        118
    miss rate                        |     98.33% |     98.33% |     98.36% |     98.35% |     98.37% |     98.37% |     98.37% |     98.39% |     98.37% |     98.36% |     98.36% |     98.36% |     98.36% |     98.36% |     98.33% |     98.33%
    mpki                             |       0.86 |       0.86 |       0.87 |       0.86 |       0.88 |       0.87 |       0.88 |       0.88 |       0.88 |       0.87 |       0.87 |       0.87 |       0.87 |       0.87 |       0.86 |       0.86
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15339 |      15351 |      15415 |      15383 |      15422 |      15456 |      15416 |      15458 |      15416 |      15387 |      15393 |      15380 |      15380 |      15404 |      15376 |      15356
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      39974 |      39994 |      40154 |      40058 |      40180 |      40262 |      40155 |      40262 |      40155 |      40085 |      40103 |      40060 |      40066 |      40120 |      40056 |      39999
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
