                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     138431 |     138014 |     137771 |     138226
  Cycles                             |     227430 |     227430 |     227430 |     227430
  IPC                                |       0.61 |       0.61 |       0.61 |       0.61
  Time (ns)                          |      85500 |      85500 |      85500 |      85500
  Idle time (ns)                     |       -111 |       -111 |        -39 |        -54
  Idle time (%)                      |      -0.1% |      -0.1% |      -0.0% |      -0.1%
Branch predictor stats               |            |            |            |           
  num correct                        |      30327 |      30284 |      30254 |      30307
  num incorrect                      |       1519 |       1480 |       1469 |       1502
  misprediction rate                 |      4.77% |      4.66% |      4.63% |      4.72%
  mpki                               |      10.97 |      10.72 |      10.66 |      10.87
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15458 |      15382 |      15338 |      15425
    num misses                       |         52 |         50 |         49 |         51
    miss rate                        |      0.34% |      0.33% |      0.32% |      0.33%
    mpki                             |       0.38 |       0.36 |       0.36 |       0.37
  D-TLB                              |            |            |            |           
    num accesses                     |      40233 |      40036 |      39972 |      40188
    num misses                       |         72 |         71 |         71 |         72
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.51 |       0.52 |       0.52
  L2 TLB                             |            |            |            |           
    num accesses                     |        124 |        121 |        120 |        123
    num misses                       |        122 |        119 |        118 |        121
    miss rate                        |     98.39% |     98.35% |     98.33% |     98.37%
    mpki                             |       0.88 |       0.86 |       0.86 |       0.88
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15458 |      15382 |      15338 |      15425
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40233 |      40036 |      39972 |      40188
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
