                                     | Core 0    
  Instructions                       |     138499
  Cycles                             |     471086
  IPC                                |       0.29
  Time (ns)                          |     177100
  Idle time (ns)                     |        -86
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      30327
  num incorrect                      |       1519
  misprediction rate                 |      4.77%
  mpki                               |      10.97
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15458
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.38
  D-TLB                              |           
    num accesses                     |      40263
    num misses                       |         72
    miss rate                        |      0.18%
    mpki                             |       0.52
  L2 TLB                             |           
    num accesses                     |        124
    num misses                       |        122
    miss rate                        |     98.39%
    mpki                             |       0.88
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15458
    num cache misses                 |        873
    miss rate                        |      5.65%
    mpki                             |       6.30
  Cache L1-D                         |           
    num cache accesses               |      40263
    num cache misses                 |       1808
    miss rate                        |      4.49%
    mpki                             |      13.05
  Cache L2                           |           
    num cache accesses               |       2719
    num cache misses                 |       2478
    miss rate                        |     91.14%
    mpki                             |      17.89
  Cache L3                           |           
    num cache accesses               |       2518
    num cache misses                 |       2477
    miss rate                        |     98.37%
    mpki                             |      17.88
DRAM summary                         |           
  num dram accesses                  |       2477
  average dram access latency (ns)   |      55.40
  average dram queueing delay        |       1.97
  average dram bandwidth utilization |     11.00%
Coherency Traffic                    |           
  num loads from dram                |       1119
  num loads from dram cache          |          0
  num loads from remote cache        |          0
