                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |     138397 |     120735 |     138005 |     129871 |     120639 |     120569 |     120351 |     120517 |     125194 |     128481
  Cycles                             |    1032080 |    1032080 |    1032080 |    1032080 |    1032080 |    1032080 |    1032080 |    1032080 |    1032080 |    1032080
  IPC                                |       0.13 |       0.12 |       0.13 |       0.13 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12 |       0.12
  Time (ns)                          |     388000 |     388000 |     388000 |     388000 |     388000 |     388000 |     388000 |     388000 |     388000 |     388000
  Idle time (ns)                     |        -31 |         29 |        156 |        -31 |        378 |        678 |        312 |        351 |         22 |         22
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.1% |       0.2% |       0.1% |       0.1% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30327 |      21938 |      30284 |      26473 |      21915 |      21911 |      21895 |      21908 |      24156 |      25789
  num incorrect                      |       1519 |       1437 |       1478 |       1443 |       1434 |       1432 |       1415 |       1426 |       1438 |       1438
  misprediction rate                 |      4.77% |      6.15% |      4.65% |      5.17% |      6.14% |      6.13% |      6.07% |      6.11% |      5.62% |      5.28%
  mpki                               |      10.98 |      11.90 |      10.71 |      11.11 |      11.89 |      11.88 |      11.76 |      11.83 |      11.49 |      11.19
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15458 |      15162 |      15380 |      15174 |      15154 |      15143 |      15108 |      15133 |      15162 |      15162
    num misses                       |         52 |         48 |         50 |         48 |         47 |         47 |         45 |         47 |         48 |         48
    miss rate                        |      0.34% |      0.32% |      0.33% |      0.32% |      0.31% |      0.31% |      0.30% |      0.31% |      0.32% |      0.32%
    mpki                             |       0.38 |       0.40 |       0.36 |       0.37 |       0.39 |       0.39 |       0.37 |       0.39 |       0.38 |       0.37
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40209 |      39846 |      40059 |      39846 |      39807 |      39781 |      39700 |      39755 |      39846 |      39846
    num misses                       |         72 |         71 |         72 |         71 |         71 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.59 |       0.52 |       0.55 |       0.59 |       0.59 |       0.59 |       0.59 |       0.57 |       0.55
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        124 |        119 |        122 |        119 |        118 |        118 |        116 |        118 |        119 |        119
    num misses                       |        122 |        117 |        120 |        117 |        116 |        116 |        114 |        116 |        117 |        117
    miss rate                        |     98.39% |     98.32% |     98.36% |     98.32% |     98.31% |     98.31% |     98.28% |     98.31% |     98.32% |     98.32%
    mpki                             |       0.88 |       0.97 |       0.87 |       0.90 |       0.96 |       0.96 |       0.95 |       0.96 |       0.93 |       0.91
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15458 |      15162 |      15380 |      15174 |      15154 |      15143 |      15108 |      15133 |      15162 |      15162
    num cache misses                 |       5213 |       5991 |       5475 |       5962 |       6050 |       5847 |       5900 |       6145 |       6147 |       5684
    miss rate                        |     33.72% |     39.51% |     35.60% |     39.29% |     39.92% |     38.61% |     39.05% |     40.61% |     40.54% |     37.49%
    mpki                             |      37.67 |      49.62 |      39.67 |      45.91 |      50.15 |      48.50 |      49.02 |      50.99 |      49.10 |      44.24
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40209 |      39846 |      40059 |      39846 |      39807 |      39781 |      39700 |      39755 |      39846 |      39846
    num cache misses                 |       6769 |       7277 |       6970 |       7209 |       7265 |       7190 |       7052 |       7327 |       7296 |       7126
    miss rate                        |     16.83% |     18.26% |     17.40% |     18.09% |     18.25% |     18.07% |     17.76% |     18.43% |     18.31% |     17.88%
    mpki                             |      48.91 |      60.27 |      50.51 |      55.51 |      60.22 |      59.63 |      58.60 |      60.80 |      58.28 |      55.46
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      12018 |      13302 |      12478 |      13202 |      13348 |      13069 |      12983 |      13502 |      13476 |      12842
    num cache misses                 |       8584 |       9059 |       8858 |       8985 |       9189 |       9020 |       8859 |       9216 |       9237 |       8930
    miss rate                        |     71.43% |     68.10% |     70.99% |     68.06% |     68.84% |     69.02% |     68.24% |     68.26% |     68.54% |     69.54%
    mpki                             |      62.02 |      75.03 |      64.19 |      69.18 |      76.17 |      74.81 |      73.61 |      76.47 |      73.78 |      69.50
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |       8621 |       9093 |       8893 |       9018 |       9223 |       9054 |       8891 |       9248 |       9272 |       8964
    num cache misses                 |       2572 |       2513 |       2538 |       2496 |       2499 |       2498 |       2472 |       2485 |       2507 |       2503
    miss rate                        |     29.83% |     27.64% |     28.54% |     27.68% |     27.10% |     27.59% |     27.80% |     26.87% |     27.04% |     27.92%
    mpki                             |      18.58 |      20.81 |      18.39 |      19.22 |      20.71 |      20.72 |      20.54 |      20.62 |      20.02 |      19.48
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      25243 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      81.83 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      28.40 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     54.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1233 |       1239 |       1234 |       1229 |       1232 |       1241 |       1230 |       1229 |       1241 |       1232
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
