                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |     115017 |     130383 |     116658 |     138397 |     113999 |     133813 |     114675 |     114283 |     113680 |     113626 |     114636 |     113614 |     120421 |     120699 |     113888
  Cycles                             |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114 |    1311114
  IPC                                |       0.09 |       0.10 |       0.09 |       0.11 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900 |     492900
  Idle time (ns)                     |         32 |        -87 |        -46 |        -87 |         83 |        -21 |        230 |        -46 |        161 |        -53 |        241 |        -21 |       1215 |        867 |         24
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |      -0.0% |       0.2% |       0.2% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21095 |      26725 |      21312 |      30327 |      20957 |      28427 |      21046 |      20996 |      20915 |      20909 |      21042 |      20909 |      21904 |      21918 |      20943
  num incorrect                      |       1330 |       1443 |       1338 |       1519 |       1325 |       1443 |       1329 |       1325 |       1321 |       1321 |       1329 |       1321 |       1422 |       1436 |       1325
  misprediction rate                 |      5.93% |      5.12% |      5.91% |      4.77% |      5.95% |      4.83% |      5.94% |      5.94% |      5.94% |      5.94% |      5.94% |      5.94% |      6.10% |      6.15% |      5.95%
  mpki                               |      11.56 |      11.07 |      11.47 |      10.98 |      11.62 |      10.78 |      11.59 |      11.59 |      11.62 |      11.63 |      11.59 |      11.63 |      11.81 |      11.90 |      11.63
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14585 |      15182 |      14765 |      15458 |      14486 |      15234 |      14550 |      14502 |      14444 |      14438 |      14544 |      14435 |      15119 |      15162 |      14470
    num misses                       |         41 |         48 |         41 |         52 |         41 |         48 |         41 |         41 |         41 |         41 |         41 |         41 |         45 |         48 |         41
    miss rate                        |      0.28% |      0.32% |      0.28% |      0.34% |      0.28% |      0.32% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.30% |      0.32% |      0.28%
    mpki                             |       0.36 |       0.37 |       0.35 |       0.38 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.36 |       0.37 |       0.40 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      38041 |      39846 |      38660 |      40209 |      37661 |      39846 |      37898 |      37748 |      37564 |      37536 |      37884 |      37522 |      39704 |      39838 |      37636
    num misses                       |         67 |         71 |         67 |         72 |         67 |         71 |         67 |         67 |         67 |         67 |         67 |         67 |         71 |         71 |         67
    miss rate                        |      0.18% |      0.18% |      0.17% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.58 |       0.54 |       0.57 |       0.52 |       0.59 |       0.53 |       0.58 |       0.59 |       0.59 |       0.59 |       0.58 |       0.59 |       0.59 |       0.59 |       0.59
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        108 |        119 |        108 |        124 |        108 |        119 |        108 |        108 |        108 |        108 |        108 |        108 |        116 |        119 |        108
    num misses                       |        107 |        117 |        107 |        122 |        107 |        117 |        107 |        107 |        107 |        107 |        107 |        107 |        114 |        117 |        107
    miss rate                        |     99.07% |     98.32% |     99.07% |     98.39% |     99.07% |     98.32% |     99.07% |     99.07% |     99.07% |     99.07% |     99.07% |     99.07% |     98.28% |     98.32% |     99.07%
    mpki                             |       0.93 |       0.90 |       0.92 |       0.88 |       0.94 |       0.87 |       0.93 |       0.94 |       0.94 |       0.94 |       0.93 |       0.94 |       0.95 |       0.97 |       0.94
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14585 |      15182 |      14765 |      15458 |      14486 |      15234 |      14550 |      14502 |      14444 |      14438 |      14544 |      14435 |      15119 |      15162 |      14470
    num cache misses                 |       6733 |       6022 |       6741 |       5370 |       6576 |       5828 |       6594 |       6690 |       6588 |       6509 |       6774 |       6441 |       6677 |       6299 |       6353
    miss rate                        |     46.16% |     39.67% |     45.66% |     34.74% |     45.40% |     38.26% |     45.32% |     46.13% |     45.61% |     45.08% |     46.58% |     44.62% |     44.16% |     41.54% |     43.90%
    mpki                             |      58.54 |      46.19 |      57.78 |      38.80 |      57.68 |      43.55 |      57.50 |      58.54 |      57.95 |      57.28 |      59.09 |      56.69 |      55.45 |      52.19 |      55.78
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38041 |      39846 |      38660 |      40209 |      37661 |      39846 |      37898 |      37748 |      37564 |      37536 |      37884 |      37522 |      39704 |      39838 |      37636
    num cache misses                 |      10380 |       9419 |      10252 |       8910 |      10191 |       9268 |      10215 |      10324 |      10292 |      10130 |      10458 |      10078 |       9973 |       9596 |      10072
    miss rate                        |     27.29% |     23.64% |     26.52% |     22.16% |     27.06% |     23.26% |     26.95% |     27.35% |     27.40% |     26.99% |     27.61% |     26.86% |     25.12% |     24.09% |     26.76%
    mpki                             |      90.25 |      72.24 |      87.88 |      64.38 |      89.40 |      69.26 |      89.08 |      90.34 |      90.53 |      89.15 |      91.23 |      88.70 |      82.82 |      79.50 |      88.44
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      17145 |      15473 |      17023 |      14316 |      16799 |      15128 |      16839 |      17044 |      16909 |      16669 |      17262 |      16549 |      16680 |      15926 |      16455
    num cache misses                 |      14747 |      12552 |      14400 |      11735 |      14308 |      12305 |      14419 |      14645 |      14505 |      14406 |      14864 |      14236 |      13787 |      13118 |      14262
    miss rate                        |     86.01% |     81.12% |     84.59% |     81.97% |     85.17% |     81.34% |     85.63% |     85.92% |     85.78% |     86.42% |     86.11% |     86.02% |     82.66% |     82.37% |     86.67%
    mpki                             |     128.22 |      96.27 |     123.44 |      84.79 |     125.51 |      91.96 |     125.74 |     128.15 |     127.60 |     126.78 |     129.66 |     125.30 |     114.49 |     108.68 |     125.23
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14781 |      12587 |      14431 |      11773 |      14341 |      12340 |      14450 |      14677 |      14536 |      14437 |      14895 |      14267 |      13819 |      13151 |      14294
    num cache misses                 |       2492 |       2594 |       2509 |       2660 |       2497 |       2595 |       2498 |       2491 |       2496 |       2485 |       2499 |       2491 |       2579 |       2600 |       2487
    miss rate                        |     16.86% |     20.61% |     17.39% |     22.59% |     17.41% |     21.03% |     17.29% |     16.97% |     17.17% |     17.21% |     16.78% |     17.46% |     18.66% |     19.77% |     17.40%
    mpki                             |      21.67 |      19.90 |      21.51 |      19.22 |      21.90 |      19.39 |      21.78 |      21.80 |      21.96 |      21.87 |      21.80 |      21.93 |      21.42 |      21.54 |      21.84
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      38429 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      93.29 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      39.86 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     65.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1325 |       1314 |       1327 |       1312 |       1329 |       1313 |       1325 |       1319 |       1329 |       1318 |       1322 |       1320 |       1328 |       1317 |       1314
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
