                                     | Core 0     | Core 1    
  Instructions                       |     138456 |     138259
  Cycles                             |     619780 |     619780
  IPC                                |       0.22 |       0.22
  Time (ns)                          |     233000 |     233000
  Idle time (ns)                     |      -1115 |         -9
  Idle time (%)                      |      -0.5% |      -0.0%
Branch predictor stats               |            |           
  num correct                        |      30327 |      30314
  num incorrect                      |       1519 |       1504
  misprediction rate                 |      4.77% |      4.73%
  mpki                               |      10.97 |      10.88
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15458 |      15434
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.38 |       0.37
  D-TLB                              |            |           
    num accesses                     |      40244 |      40197
    num misses                       |         72 |         72
    miss rate                        |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52
  L2 TLB                             |            |           
    num accesses                     |        124 |        123
    num misses                       |        122 |        121
    miss rate                        |     98.39% |     98.37%
    mpki                             |       0.88 |       0.88
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15458 |      15434
    num cache misses                 |        967 |        959
    miss rate                        |      6.26% |      6.21%
    mpki                             |       6.98 |       6.94
  Cache L1-D                         |            |           
    num cache accesses               |      40244 |      40197
    num cache misses                 |       1973 |       1984
    miss rate                        |      4.90% |      4.94%
    mpki                             |      14.25 |      14.35
  Cache L2                           |            |           
    num cache accesses               |       2978 |       2981
    num cache misses                 |       2539 |       2526
    miss rate                        |     85.26% |     84.74%
    mpki                             |      18.34 |      18.27
  Cache L3                           |            |           
    num cache accesses               |       2579 |       2566
    num cache misses                 |       2477 |       2462
    miss rate                        |     96.04% |     95.95%
    mpki                             |      17.89 |      17.81
DRAM summary                         |            |           
  num dram accesses                  |       4939 |          0
  average dram access latency (ns)   |      68.12 |        inf
  average dram queueing delay        |      14.70 |       0.00
  average dram bandwidth utilization |     17.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       1120 |       1118
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
