                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |     138397 |     138159 |     127749 |     137847
  Cycles                             |     692132 |     692132 |     692132 |     692132
  IPC                                |       0.20 |       0.20 |       0.18 |       0.20
  Time (ns)                          |     260200 |     260200 |     260200 |     260200
  Idle time (ns)                     |        -97 |        -26 |        -97 |         -2
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |           
  num correct                        |      30327 |      30301 |      25436 |      30264
  num incorrect                      |       1519 |       1495 |       1438 |       1471
  misprediction rate                 |      4.77% |      4.70% |      5.35% |      4.64%
  mpki                               |      10.98 |      10.82 |      11.26 |      10.67
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |      15458 |      15411 |      15162 |      15353
    num misses                       |         52 |         50 |         48 |         49
    miss rate                        |      0.34% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.38 |       0.36 |       0.38 |       0.36
  D-TLB                              |            |            |            |           
    num accesses                     |      40209 |      40104 |      39846 |      39990
    num misses                       |         72 |         72 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.52 |       0.52 |       0.56 |       0.52
  L2 TLB                             |            |            |            |           
    num accesses                     |        124 |        122 |        119 |        120
    num misses                       |        122 |        120 |        117 |        118
    miss rate                        |     98.39% |     98.36% |     98.32% |     98.33%
    mpki                             |       0.88 |       0.87 |       0.92 |       0.86
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |      15458 |      15411 |      15162 |      15353
    num cache misses                 |       1604 |       1600 |       1427 |       1532
    miss rate                        |     10.38% |     10.38% |      9.41% |      9.98%
    mpki                             |      11.59 |      11.58 |      11.17 |      11.11
  Cache L1-D                         |            |            |            |           
    num cache accesses               |      40209 |      40104 |      39846 |      39990
    num cache misses                 |       2966 |       2957 |       2861 |       2914
    miss rate                        |      7.38% |      7.37% |      7.18% |      7.29%
    mpki                             |      21.43 |      21.40 |      22.40 |      21.14
  Cache L2                           |            |            |            |           
    num cache accesses               |       4606 |       4592 |       4323 |       4482
    num cache misses                 |       2809 |       2758 |       2705 |       2755
    miss rate                        |     60.99% |     60.06% |     62.57% |     61.47%
    mpki                             |      20.30 |      19.96 |      21.17 |      19.99
  Cache L3                           |            |            |            |           
    num cache accesses               |       2848 |       2796 |       2742 |       2793
    num cache misses                 |       2477 |       2446 |       2410 |       2429
    miss rate                        |     86.97% |     87.48% |     87.89% |     86.97%
    mpki                             |      17.90 |      17.70 |      18.87 |      17.62
DRAM summary                         |            |            |            |           
  num dram accesses                  |       9762 |          0 |          0 |          0
  average dram access latency (ns)   |      68.27 |        inf |        inf |        inf
  average dram queueing delay        |      14.84 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     31.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       1129 |       1123 |       1122 |       1122
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
