                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |     138307 |     120743 |     120639 |     138431 |     137830 |     126774 |     121935 |     127018 |     120970 |     123644 |     120602 |     138328 |     120273 |     120595 |     120439
  Cycles                             |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708 |    1233708
  IPC                                |       0.11 |       0.10 |       0.10 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.11 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800 |     463800
  Idle time (ns)                     |        341 |        474 |        -12 |        -39 |        762 |        -12 |          4 |        254 |        136 |        182 |         80 |        653 |        -39 |       1179 |         30
  Idle time (%)                      |       0.1% |       0.1% |      -0.0% |      -0.0% |       0.2% |      -0.0% |       0.0% |       0.1% |       0.0% |       0.0% |       0.0% |       0.1% |      -0.0% |       0.3% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      30318 |      21942 |      21915 |      30327 |      30261 |      24940 |      22539 |      25062 |      22061 |      23388 |      21913 |      30320 |      21874 |      21913 |      21905
  num incorrect                      |       1510 |       1437 |       1434 |       1519 |       1471 |       1438 |       1438 |       1438 |       1438 |       1438 |       1432 |       1512 |       1409 |       1432 |       1422
  misprediction rate                 |      4.74% |      6.15% |      6.14% |      4.77% |      4.64% |      5.45% |      6.00% |      5.43% |      6.12% |      5.79% |      6.13% |      4.75% |      6.05% |      6.13% |      6.10%
  mpki                               |      10.92 |      11.90 |      11.89 |      10.97 |      10.67 |      11.34 |      11.79 |      11.32 |      11.89 |      11.63 |      11.87 |      10.93 |      11.72 |      11.87 |      11.81
