CPI                  Core 0     Core 1     Core 2   
base                   0.28       0.27       0.19
dispatch_width         0.00       0.00       0.00
rs_full                0.68       0.59       0.68
depend-int             0.00       0.00       0.00
depend-fp              0.00       0.00       0.00
depend-branch          0.00       0.00       0.00
issue-port0            0.00       0.00       0.00
issue-port1            0.00       0.00       0.00
issue-port2            0.00       0.00       0.00
issue-port34           0.00       0.00       0.00
issue-port5            0.00       0.00       0.00
issue-port05           0.00       0.00       0.00
issue-port015          0.00       0.00       0.00
serial                 0.00       0.00       0.00
smt                    0.22       0.21       0.24
branch                 0.12       0.12       0.12
itlb                   0.00       0.00       0.00
dtlb                   0.00       0.00       0.00
ifetch                 1.49       1.57       1.52
mem-l1d                0.06       0.06       0.06
mem-l2                 0.01       0.01       0.01
mem-l3                 0.02       0.02       0.02
mem-l4                 0.00       0.00       0.00
mem-remote             0.00       0.00       0.00
mem-nuca               0.00       0.00       0.00
mem-dram-cache         0.00       0.00       0.00
mem-dram               0.65       0.70       0.66
sync-futex             0.00       0.00       0.00
sync-mutex             0.00       0.00       0.00
sync-cond              0.00       0.00       0.00
sync-barrier           0.00       0.00       0.00
sync-join              0.00       0.00       0.00
sync-pause             0.00       0.00       0.00
sync-sleep             0.00       0.00       0.00
sync-syscall           0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.00
sync-memaccess         0.00       0.00       0.00
sync-recv              0.00       0.00       0.00
dvfs-transition        0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00
imbalance-end         -0.00      -0.02      -0.00

total                  3.52       3.54       3.52
