                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |     132202 |     138458 |     129086 |     137412 |     132370 |     137537
  Cycles                             |     642390 |     642390 |     642390 |     642390 |     642390 |     642390
  IPC                                |       0.21 |       0.22 |       0.20 |       0.21 |       0.21 |       0.21
  Time (ns)                          |     241500 |     241500 |     241500 |     241500 |     241500 |     241500
  Idle time (ns)                     |        -81 |        -81 |        -81 |        -29 |        -45 |         66
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |      27635 |      30327 |      26082 |      30220 |      27718 |      30232
  num incorrect                      |       1443 |       1519 |       1442 |       1443 |       1443 |       1452
  misprediction rate                 |      4.96% |      4.77% |      5.24% |      4.56% |      4.95% |      4.58%
  mpki                               |      10.92 |      10.97 |      11.17 |      10.50 |      10.90 |      10.56
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |      15210 |      15458 |      15162 |      15288 |      15212 |      15306
    num misses                       |         48 |         52 |         48 |         48 |         48 |         49
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.31% |      0.32% |      0.32%
    mpki                             |       0.36 |       0.38 |       0.37 |       0.35 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |      39846 |      40242 |      39846 |      39846 |      39846 |      39888
    num misses                       |         71 |         72 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.54 |       0.52 |       0.55 |       0.52 |       0.54 |       0.52
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        119 |        124 |        119 |        119 |        119 |        120
    num misses                       |        117 |        122 |        117 |        117 |        117 |        118
    miss rate                        |     98.32% |     98.39% |     98.32% |     98.32% |     98.32% |     98.33%
    mpki                             |       0.89 |       0.88 |       0.91 |       0.85 |       0.88 |       0.86
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |      15210 |      15458 |      15162 |      15288 |      15212 |      15306
    num cache misses                 |       4696 |       4800 |       4323 |       4849 |       4710 |       4678
    miss rate                        |     30.87% |     31.05% |     28.51% |     31.72% |     30.96% |     30.56%
    mpki                             |      35.52 |      34.67 |      33.49 |      35.29 |      35.58 |      34.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |      39846 |      40242 |      39846 |      39846 |      39846 |      39888
    num cache misses                 |       4468 |       4542 |       4268 |       4518 |       4469 |       4502
    miss rate                        |     11.21% |     11.29% |     10.71% |     11.34% |     11.22% |     11.29%
    mpki                             |      33.80 |      32.80 |      33.06 |      32.88 |      33.76 |      32.73
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |       9197 |       9376 |       8622 |       9399 |       9212 |       9212
    num cache misses                 |       3642 |       3779 |       3612 |       3697 |       3677 |       3703
    miss rate                        |     39.60% |     40.31% |     41.89% |     39.33% |     39.92% |     40.20%
    mpki                             |      27.55 |      27.29 |      27.98 |      26.90 |      27.78 |      26.92
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3676 |       3814 |       3645 |       3730 |       3711 |       3737
    num cache misses                 |       2410 |       2477 |       2410 |       2410 |       2410 |       2422
    miss rate                        |     65.56% |     64.94% |     66.12% |     64.61% |     64.94% |     64.81%
    mpki                             |      18.23 |      17.89 |      18.67 |      17.54 |      18.21 |      17.61
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      14539 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      75.86 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      22.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     50.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       1138 |       1145 |       1143 |       1141 |       1144 |       1139
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
