                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6    
  Instructions                       |     132493 |     138421 |     128727 |     129665 |     127544 |     125202 |     122145
  Cycles                             |     671916 |     671916 |     671916 |     671916 |     671916 |     671916 |     671916
  IPC                                |       0.20 |       0.21 |       0.19 |       0.19 |       0.19 |       0.19 |       0.18
  Time (ns)                          |     252600 |     252600 |     252600 |     252600 |     252600 |     252600 |     252600
  Idle time (ns)                     |         15 |        -18 |        -18 |         13 |         15 |        137 |         68
  Idle time (%)                      |       0.0% |      -0.0% |      -0.0% |       0.0% |       0.0% |       0.1% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |           
  num correct                        |      27777 |      30327 |      25908 |      26368 |      25326 |      24165 |      22648
  num incorrect                      |       1443 |       1519 |       1438 |       1443 |       1438 |       1438 |       1438
  misprediction rate                 |      4.94% |      4.77% |      5.26% |      5.19% |      5.37% |      5.62% |      5.97%
  mpki                               |      10.89 |      10.97 |      11.17 |      11.13 |      11.27 |      11.49 |      11.77
TLB Summary                          |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      15214 |      15458 |      15162 |      15170 |      15162 |      15162 |      15162
    num misses                       |         48 |         52 |         48 |         48 |         48 |         48 |         48
    miss rate                        |      0.32% |      0.34% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.36 |       0.38 |       0.37 |       0.37 |       0.38 |       0.38 |       0.39
  D-TLB                              |            |            |            |            |            |            |           
    num accesses                     |      39846 |      40225 |      39846 |      39846 |      39846 |      39846 |      39846
    num misses                       |         71 |         72 |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.54 |       0.52 |       0.55 |       0.55 |       0.56 |       0.57 |       0.58
  L2 TLB                             |            |            |            |            |            |            |           
    num accesses                     |        119 |        124 |        119 |        119 |        119 |        119 |        119
    num misses                       |        117 |        122 |        117 |        117 |        117 |        117 |        117
    miss rate                        |     98.32% |     98.39% |     98.32% |     98.32% |     98.32% |     98.32% |     98.32%
    mpki                             |       0.88 |       0.88 |       0.91 |       0.90 |       0.92 |       0.93 |       0.96
Cache Summary                        |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |           
    num cache accesses               |      15214 |      15458 |      15162 |      15170 |      15162 |      15162 |      15162
    num cache misses                 |       5267 |       4918 |       5194 |       5214 |       5219 |       4991 |       4501
    miss rate                        |     34.62% |     31.82% |     34.26% |     34.37% |     34.42% |     32.92% |     29.69%
    mpki                             |      39.75 |      35.53 |      40.35 |      40.21 |      40.92 |      39.86 |      36.85
  Cache L1-D                         |            |            |            |            |            |            |           
    num cache accesses               |      39846 |      40225 |      39846 |      39846 |      39846 |      39846 |      39846
    num cache misses                 |       5048 |       4854 |       5024 |       5046 |       5080 |       4905 |       4680
    miss rate                        |     12.67% |     12.07% |     12.61% |     12.66% |     12.75% |     12.31% |     11.75%
    mpki                             |      38.10 |      35.07 |      39.03 |      38.92 |      39.83 |      39.18 |      38.32
  Cache L2                           |            |            |            |            |            |            |           
    num cache accesses               |      10348 |       9806 |      10250 |      10292 |      10331 |       9926 |       9213
    num cache misses                 |       3930 |       3958 |       3953 |       3939 |       3943 |       3889 |       3829
    miss rate                        |     37.98% |     40.36% |     38.57% |     38.27% |     38.17% |     39.18% |     41.56%
    mpki                             |      29.66 |      28.59 |      30.71 |      30.38 |      30.91 |      31.06 |      31.35
  Cache L3                           |            |            |            |            |            |            |           
    num cache accesses               |       3964 |       3994 |       3986 |       3972 |       3976 |       3922 |       3863
    num cache misses                 |       2410 |       2477 |       2410 |       2410 |       2410 |       2410 |       2410
    miss rate                        |     60.80% |     62.02% |     60.46% |     60.67% |     60.61% |     61.45% |     62.39%
    mpki                             |      18.19 |      17.89 |      18.72 |      18.59 |      18.90 |      19.25 |      19.73
DRAM summary                         |            |            |            |            |            |            |           
  num dram accesses                  |      16937 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      79.14 |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      25.71 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     56.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |           
  num loads from dram                |       1136 |       1147 |       1141 |       1142 |       1143 |       1141 |       1143
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0
