                                     | Core 0    
  Instructions                       |     121712
  Cycles                             |     150024
  IPC                                |       0.81
  Time (ns)                          |      56400
  Idle time (ns)                     |        -62
  Idle time (%)                      |      -0.1%
Branch predictor stats               |           
  num correct                        |      22012
  num incorrect                      |       1514
  misprediction rate                 |      6.44%
  mpki                               |      12.44
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |      15330
    num misses                       |         52
    miss rate                        |      0.34%
    mpki                             |       0.43
  D-TLB                              |           
    num accesses                     |      40245
    num misses                       |         77
    miss rate                        |      0.19%
    mpki                             |       0.63
  L2 TLB                             |           
    num accesses                     |        129
    num misses                       |        123
    miss rate                        |     95.35%
    mpki                             |       1.01
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      15330
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L1-D                         |           
    num cache accesses               |      40245
    num cache misses                 |          0
    miss rate                        |      0.00%
    mpki                             |       0.00
  Cache L2                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
  Cache L3                           |           
    num cache accesses               |          0
    num cache misses                 |          0
    miss rate                        |       inf%
    mpki                             |       0.00
DRAM summary                         |           
  num dram accesses                  |          0
  average dram access latency (ns)   |        inf
  average dram queueing delay        |       0.00
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          0
  num loads from dram cache          |          0
  num loads from remote cache        |          0
