                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |     121485 |     121232 |     121082 |     121416 |     121583 |     121676 |     121001 |     121583
  Cycles                             |     299516 |     299516 |     299516 |     299516 |     299516 |     299516 |     299516 |     299516
  IPC                                |       0.41 |       0.40 |       0.40 |       0.41 |       0.41 |       0.41 |       0.40 |       0.41
  Time (ns)                          |     112600 |     112600 |     112600 |     112600 |     112600 |     112600 |     112600 |     112600
  Idle time (ns)                     |        -36 |        -50 |        -36 |         10 |        -50 |        -86 |         27 |        -57
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.1% |       0.0% |      -0.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |      21997 |      21968 |      21949 |      21989 |      22010 |      22012 |      21939 |      22010
  num incorrect                      |       1498 |       1473 |       1466 |       1493 |       1511 |       1514 |       1464 |       1511
  misprediction rate                 |      6.38% |      6.28% |      6.26% |      6.36% |      6.42% |      6.44% |      6.26% |      6.42%
  mpki                               |      12.33 |      12.15 |      12.11 |      12.30 |      12.43 |      12.44 |      12.10 |      12.43
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      15304 |      15252 |      15226 |      15290 |      15325 |      15330 |      15211 |      15325
    num misses                       |         51 |         50 |         49 |         51 |         51 |         52 |         49 |         51
    miss rate                        |      0.33% |      0.33% |      0.32% |      0.33% |      0.33% |      0.34% |      0.32% |      0.33%
    mpki                             |       0.42 |       0.41 |       0.40 |       0.42 |       0.42 |       0.43 |       0.40 |       0.42
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |      40182 |      40054 |      39989 |      40154 |      40237 |      40229 |      39963 |      40237
    num misses                       |         77 |         77 |         76 |         77 |         77 |         77 |         76 |         77
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.64 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        128 |        127 |        125 |        128 |        128 |        129 |        125 |        128
    num misses                       |        122 |        121 |        119 |        122 |        122 |        123 |        119 |        122
    miss rate                        |     95.31% |     95.28% |     95.20% |     95.31% |     95.31% |     95.35% |     95.20% |     95.31%
    mpki                             |       1.00 |       1.00 |       0.98 |       1.00 |       1.00 |       1.01 |       0.98 |       1.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |      15304 |      15252 |      15226 |      15290 |      15325 |      15330 |      15211 |      15325
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |      40182 |      40054 |      39989 |      40154 |      40237 |      40229 |      39963 |      40237
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
