                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |     116502 |     117604 |     121648 |     120580 |     117952 |     118574 |     114971 |     114260 |     114613 |     115707 |     113329 |     114470
  Cycles                             |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052 |    1123052
  IPC                                |       0.10 |       0.10 |       0.11 |       0.11 |       0.11 |       0.11 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10 |       0.10
  Time (ns)                          |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200 |     422200
  Idle time (ns)                     |        192 |         44 |        -65 |        121 |        358 |        -66 |         73 |         -7 |        294 |         18 |        337 |        -65
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.1% |      -0.0% |       0.0% |      -0.0% |       0.1% |       0.0% |       0.1% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21285 |      21418 |      22012 |      21908 |      21457 |      21519 |      21081 |      20989 |      21033 |      21178 |      20870 |      21017
  num incorrect                      |       1343 |       1355 |       1514 |       1435 |       1358 |       1360 |       1334 |       1329 |       1333 |       1339 |       1321 |       1329
  misprediction rate                 |      5.94% |      5.95% |      6.44% |      6.15% |      5.95% |      5.94% |      5.95% |      5.95% |      5.96% |      5.95% |      5.95% |      5.95%
  mpki                               |      11.53 |      11.52 |      12.45 |      11.90 |      11.51 |      11.47 |      11.60 |      11.63 |      11.63 |      11.57 |      11.66 |      11.61
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14747 |      14873 |      15330 |      15143 |      14906 |      14958 |      14580 |      14502 |      14540 |      14660 |      14406 |      14520
    num misses                       |         41 |         42 |         52 |         47 |         42 |         42 |         41 |         41 |         41 |         41 |         41 |         41
    miss rate                        |      0.28% |      0.28% |      0.34% |      0.31% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28% |      0.28%
    mpki                             |       0.35 |       0.36 |       0.43 |       0.39 |       0.36 |       0.35 |       0.36 |       0.36 |       0.36 |       0.35 |       0.36 |       0.36
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      38581 |      39030 |      40214 |      39772 |      39137 |      39358 |      38015 |      37737 |      37859 |      38299 |      37405 |      37824
    num misses                       |         70 |         73 |         77 |         76 |         74 |         74 |         70 |         70 |         70 |         70 |         70 |         70
    miss rate                        |      0.18% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.18% |      0.19% |      0.18% |      0.18% |      0.19% |      0.19%
    mpki                             |       0.60 |       0.62 |       0.63 |       0.63 |       0.63 |       0.62 |       0.61 |       0.61 |       0.61 |       0.60 |       0.62 |       0.61
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        111 |        115 |        129 |        123 |        116 |        116 |        111 |        111 |        111 |        111 |        111 |        111
    num misses                       |        108 |        111 |        123 |        117 |        111 |        111 |        108 |        108 |        108 |        108 |        108 |        108
    miss rate                        |     97.30% |     96.52% |     95.35% |     95.12% |     95.69% |     95.69% |     97.30% |     97.30% |     97.30% |     97.30% |     97.30% |     97.30%
    mpki                             |       0.93 |       0.94 |       1.01 |       0.97 |       0.94 |       0.94 |       0.94 |       0.95 |       0.94 |       0.93 |       0.95 |       0.94
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14747 |      14873 |      15330 |      15143 |      14906 |      14958 |      14580 |      14502 |      14540 |      14660 |      14406 |      14520
    num cache misses                 |       6418 |       6314 |       5065 |       5476 |       6059 |       6154 |       6245 |       6338 |       6287 |       6160 |       5921 |       6127
    miss rate                        |     43.52% |     42.45% |     33.04% |     36.16% |     40.65% |     41.14% |     42.83% |     43.70% |     43.24% |     42.02% |     41.10% |     42.20%
    mpki                             |      55.09 |      53.69 |      41.64 |      45.41 |      51.37 |      51.90 |      54.32 |      55.47 |      54.85 |      53.24 |      52.25 |      53.52
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38581 |      39030 |      40214 |      39772 |      39137 |      39358 |      38015 |      37737 |      37859 |      38299 |      37405 |      37824
    num cache misses                 |       8052 |       8009 |       7229 |       7496 |       7939 |       7972 |       8041 |       8079 |       8087 |       8032 |       7741 |       7997
    miss rate                        |     20.87% |     20.52% |     17.98% |     18.85% |     20.29% |     20.26% |     21.15% |     21.41% |     21.36% |     20.97% |     20.70% |     21.14%
    mpki                             |      69.11 |      68.10 |      59.43 |      62.17 |      67.31 |      67.23 |      69.94 |      70.71 |      70.56 |      69.42 |      68.31 |      69.86
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14501 |      14355 |      12332 |      13005 |      14030 |      14158 |      14317 |      14448 |      14405 |      14223 |      13695 |      14157
    num cache misses                 |      11691 |      11560 |      10252 |      10781 |      11502 |      11521 |      11714 |      11709 |      11797 |      11583 |      11287 |      11561
    miss rate                        |     80.62% |     80.53% |     83.13% |     82.90% |     81.98% |     81.37% |     81.82% |     81.04% |     81.90% |     81.44% |     82.42% |     81.66%
    mpki                             |     100.35 |      98.30 |      84.28 |      89.41 |      97.51 |      97.16 |     101.89 |     102.48 |     102.93 |     100.11 |      99.59 |     101.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11722 |      11592 |      10292 |      10814 |      11534 |      11553 |      11745 |      11740 |      11828 |      11614 |      11320 |      11596
    num cache misses                 |       2444 |       2476 |       2613 |       2536 |       2473 |       2480 |       2423 |       2423 |       2432 |       2448 |       2412 |       2418
    miss rate                        |     20.85% |     21.36% |     25.39% |     23.45% |     21.44% |     21.47% |     20.63% |     20.64% |     20.56% |     21.08% |     21.31% |     20.85%
    mpki                             |      20.98 |      21.05 |      21.48 |      21.03 |      20.97 |      20.92 |      21.07 |      21.21 |      21.22 |      21.16 |      21.28 |      21.12
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      29912 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      85.81 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      32.38 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     59.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1271 |       1278 |       1280 |       1280 |       1268 |       1273 |       1260 |       1264 |       1268 |       1280 |       1244 |       1253
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
