                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13   
  Instructions                       |     117463 |     120578 |     118721 |     118621 |     121652 |     117773 |     120798 |     117385 |     117375 |     117489 |     120839 |     121501 |     117316 |     117385
  Cycles                             |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840 |    1260840
  IPC                                |       0.09 |       0.10 |       0.09 |       0.09 |       0.10 |       0.09 |       0.10 |       0.09 |       0.09 |       0.09 |       0.10 |       0.10 |       0.09 |       0.09
  Time (ns)                          |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000 |     474000
  Idle time (ns)                     |        262 |       2118 |       1581 |        633 |       -157 |       -157 |        866 |        127 |        657 |        -20 |        703 |       2254 |        127 |        994
  Idle time (%)                      |       0.1% |       0.4% |       0.3% |       0.1% |      -0.0% |      -0.0% |       0.2% |       0.0% |       0.1% |      -0.0% |       0.1% |       0.5% |       0.0% |       0.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      21404 |      21908 |      21542 |      21536 |      22012 |      21438 |      21918 |      21398 |      21395 |      21406 |      21923 |      22001 |      21393 |      21398
  num incorrect                      |       1355 |       1435 |       1365 |       1362 |       1514 |       1355 |       1447 |       1349 |       1349 |       1355 |       1449 |       1500 |       1348 |       1349
  misprediction rate                 |      5.95% |      6.15% |      5.96% |      5.95% |      6.44% |      5.94% |      6.19% |      5.93% |      5.93% |      5.95% |      6.20% |      6.38% |      5.93% |      5.93%
  mpki                               |      11.54 |      11.90 |      11.50 |      11.48 |      12.45 |      11.51 |      11.98 |      11.49 |      11.49 |      11.53 |      11.99 |      12.35 |      11.49 |      11.49
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      14866 |      15142 |      14991 |      14979 |      15330 |      14884 |      15181 |      14852 |      14851 |      14870 |      15182 |      15310 |      14845 |      14852
    num misses                       |         42 |         47 |         45 |         45 |         52 |         42 |         49 |         41 |         41 |         42 |         49 |         51 |         41 |         41
    miss rate                        |      0.28% |      0.31% |      0.30% |      0.30% |      0.34% |      0.28% |      0.32% |      0.28% |      0.28% |      0.28% |      0.32% |      0.33% |      0.28% |      0.28%
    mpki                             |       0.36 |       0.39 |       0.38 |       0.38 |       0.43 |       0.36 |       0.41 |       0.35 |       0.35 |       0.36 |       0.41 |       0.42 |       0.35 |       0.35
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      38993 |      39757 |      39482 |      39426 |      40216 |      39096 |      39882 |      38958 |      38955 |      38997 |      39900 |      40194 |      38919 |      38960
    num misses                       |         73 |         76 |         75 |         75 |         77 |         73 |         76 |         70 |         70 |         73 |         76 |         77 |         70 |         70
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.18% |      0.18% |      0.19% |      0.19% |      0.19% |      0.18% |      0.18%
    mpki                             |       0.62 |       0.63 |       0.63 |       0.63 |       0.63 |       0.62 |       0.63 |       0.60 |       0.60 |       0.62 |       0.63 |       0.63 |       0.60 |       0.60
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        115 |        123 |        120 |        120 |        129 |        115 |        125 |        111 |        111 |        115 |        125 |        128 |        111 |        111
    num misses                       |        111 |        117 |        114 |        114 |        123 |        111 |        119 |        108 |        108 |        111 |        119 |        122 |        108 |        108
    miss rate                        |     96.52% |     95.12% |     95.00% |     95.00% |     95.35% |     96.52% |     95.20% |     97.30% |     97.30% |     96.52% |     95.20% |     95.31% |     97.30% |     97.30%
    mpki                             |       0.94 |       0.97 |       0.96 |       0.96 |       1.01 |       0.94 |       0.99 |       0.92 |       0.92 |       0.94 |       0.98 |       1.00 |       0.92 |       0.92
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      14866 |      15142 |      14991 |      14979 |      15330 |      14884 |      15181 |      14852 |      14851 |      14870 |      15182 |      15310 |      14845 |      14852
    num cache misses                 |       6774 |       6265 |       6201 |       6487 |       5750 |       6589 |       6025 |       6789 |       6550 |       6798 |       5942 |       5493 |       6291 |       6654
    miss rate                        |     45.57% |     41.37% |     41.36% |     43.31% |     37.51% |     44.27% |     39.69% |     45.71% |     44.10% |     45.72% |     39.14% |     35.88% |     42.38% |     44.80%
    mpki                             |      57.67 |      51.96 |      52.23 |      54.69 |      47.27 |      55.95 |      49.88 |      57.84 |      55.80 |      57.86 |      49.17 |      45.21 |      53.62 |      56.69
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      38993 |      39757 |      39482 |      39426 |      40216 |      39096 |      39882 |      38958 |      38955 |      38997 |      39900 |      40194 |      38919 |      38960
    num cache misses                 |       8992 |       8598 |       8600 |       8682 |       8137 |       8866 |       8411 |       8940 |       8740 |       8952 |       8496 |       7896 |       8402 |       8832
    miss rate                        |     23.06% |     21.63% |     21.78% |     22.02% |     20.23% |     22.68% |     21.09% |     22.95% |     22.44% |     22.96% |     21.29% |     19.64% |     21.59% |     22.67%
    mpki                             |      76.55 |      71.31 |      72.44 |      73.19 |      66.89 |      75.28 |      69.63 |      76.16 |      74.46 |      76.19 |      70.31 |      64.99 |      71.62 |      75.24
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15798 |      14896 |      14833 |      15201 |      13923 |      15487 |      14471 |      15760 |      15322 |      15782 |      14473 |      13425 |      14726 |      15519
    num cache misses                 |      13265 |      12645 |      12713 |      12877 |      11730 |      13034 |      12195 |      13023 |      12605 |      13186 |      12297 |      11221 |      12209 |      12826
    miss rate                        |     83.97% |     84.89% |     85.71% |     84.71% |     84.25% |     84.16% |     84.27% |     82.63% |     82.27% |     83.55% |     84.97% |     83.58% |     82.91% |     82.65%
    mpki                             |     112.93 |     104.87 |     107.08 |     108.56 |      96.42 |     110.67 |     100.95 |     110.94 |     107.39 |     112.23 |     101.76 |      92.35 |     104.07 |     109.26
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      13297 |      12678 |      12745 |      12909 |      11766 |      13066 |      12231 |      13055 |      12637 |      13218 |      12332 |      11257 |      12242 |      12861
    num cache misses                 |       2519 |       2592 |       2551 |       2529 |       2665 |       2511 |       2604 |       2507 |       2499 |       2517 |       2608 |       2646 |       2503 |       2498
    miss rate                        |     18.94% |     20.44% |     20.02% |     19.59% |     22.65% |     19.22% |     21.29% |     19.20% |     19.78% |     19.04% |     21.15% |     23.51% |     20.45% |     19.42%
    mpki                             |      21.45 |      21.50 |      21.49 |      21.32 |      21.91 |      21.32 |      21.56 |      21.36 |      21.29 |      21.42 |      21.58 |      21.78 |      21.34 |      21.28
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      36239 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      90.79 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      37.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     64.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       1323 |       1329 |       1325 |       1310 |       1321 |       1312 |       1328 |       1322 |       1314 |       1312 |       1318 |       1309 |       1321 |       1314
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
