CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5     Core 6   
base                   0.18       0.17       0.18       0.15       0.15       0.17       0.17
dispatch_width         0.00       0.00       0.00       0.00       0.00       0.00       0.00
rs_full                1.29       1.30       1.24       1.31       1.33       1.28       1.32
depend-int             0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port0            0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port1            0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port34           0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port05           0.00       0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00       0.00
serial                 0.00       0.00       0.00       0.00       0.00       0.00       0.00
smt                    1.20       1.20       1.17       1.23       1.24       1.18       1.21
branch                 0.13       0.13       0.13       0.13       0.13       0.13       0.12
itlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00
dtlb                   0.00       0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 2.74       2.75       2.72       2.76       2.74       2.76       2.77
mem-l1d                0.21       0.21       0.21       0.19       0.19       0.21       0.21
mem-l2                 0.05       0.05       0.05       0.05       0.05       0.05       0.05
mem-l3                 0.12       0.12       0.12       0.12       0.12       0.13       0.11
mem-l4                 0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-remote             0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-nuca               0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram-cache         0.00       0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               1.03       1.01       1.06       1.05       0.97       0.99       1.00
sync-futex             0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-mutex             0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-cond              0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-barrier           0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-join              0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-pause             0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-sleep             0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-syscall           0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-memaccess         0.00       0.00       0.00       0.00       0.00       0.00       0.00
sync-recv              0.00       0.00       0.00       0.00       0.00       0.00       0.00
dvfs-transition        0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end         -0.01      -0.04      -0.00      -0.04      -0.01      -0.01      -0.03

total                  6.94       6.90       6.89       6.94       6.92       6.90       6.94
