                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |     121673 |     121535 |     121371 |     121302 |     121306 |     121123 |     121149 |     121086 |     120946 |     120995 |     120892 |     120771
  Cycles                             |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610 |     421610
  IPC                                |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29 |       0.29
  Time (ns)                          |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500 |     158500
  Idle time (ns)                     |        -68 |         -1 |         -7 |        -11 |        -68 |         59 |        -11 |        -23 |         50 |        -26 |         -1 |         70
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22012 |      22003 |      21985 |      21974 |      21969 |      21955 |      21958 |      21950 |      21933 |      21939 |      21931 |      21916
  num incorrect                      |       1514 |       1505 |       1487 |       1480 |       1475 |       1469 |       1469 |       1466 |       1454 |       1464 |       1451 |       1447
  misprediction rate                 |      6.44% |      6.40% |      6.34% |      6.31% |      6.29% |      6.27% |      6.27% |      6.26% |      6.22% |      6.26% |      6.21% |      6.19%
  mpki                               |      12.44 |      12.38 |      12.25 |      12.20 |      12.16 |      12.13 |      12.13 |      12.11 |      12.02 |      12.10 |      12.00 |      11.98
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15318 |      15280 |      15267 |      15254 |      15237 |      15242 |      15227 |      15194 |      15210 |      15187 |      15177
    num misses                       |         52 |         51 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.43 |       0.42 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.40 |       0.41 |       0.40 |       0.41 |       0.41
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40227 |      40203 |      40127 |      40097 |      40047 |      40003 |      40020 |      39990 |      39942 |      39961 |      39921 |      39870
    num misses                       |         77 |         77 |         77 |         77 |         76 |         76 |         76 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        129 |        128 |        127 |        127 |        126 |        125 |        125 |        125 |        125 |        125 |        125 |        125
    num misses                       |        123 |        122 |        121 |        121 |        120 |        119 |        119 |        119 |        119 |        119 |        119 |        119
    miss rate                        |     95.35% |     95.31% |     95.28% |     95.28% |     95.24% |     95.20% |     95.20% |     95.20% |     95.20% |     95.20% |     95.20% |     95.20%
    mpki                             |       1.01 |       1.00 |       1.00 |       1.00 |       0.99 |       0.98 |       0.98 |       0.98 |       0.98 |       0.98 |       0.98 |       0.99
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15318 |      15280 |      15267 |      15254 |      15237 |      15242 |      15227 |      15194 |      15210 |      15187 |      15177
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40227 |      40203 |      40127 |      40097 |      40047 |      40003 |      40020 |      39990 |      39942 |      39961 |      39921 |      39870
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
