                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12   
  Instructions                       |     121679 |     121594 |     121574 |     121574 |     121395 |     121351 |     121267 |     121242 |     121173 |     121020 |     120884 |     120860 |     120846
  Cycles                             |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722 |     456722
  IPC                                |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.27 |       0.26 |       0.26 |       0.26 |       0.26
  Time (ns)                          |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700 |     171700
  Idle time (ns)                     |        -82 |         25 |        -43 |        -79 |         95 |         60 |         35 |        -22 |         36 |         21 |         35 |          6 |         25
  Idle time (%)                      |      -0.0% |       0.0% |      -0.0% |      -0.0% |       0.1% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22012 |      22010 |      22008 |      22009 |      21987 |      21982 |      21971 |      21969 |      21962 |      21941 |      21931 |      21929 |      21925
  num incorrect                      |       1514 |       1513 |       1509 |       1509 |       1492 |       1484 |       1476 |       1475 |       1469 |       1465 |       1450 |       1449 |       1449
  misprediction rate                 |      6.44% |      6.43% |      6.42% |      6.42% |      6.35% |      6.32% |      6.30% |      6.29% |      6.27% |      6.26% |      6.20% |      6.20% |      6.20%
  mpki                               |      12.44 |      12.44 |      12.41 |      12.41 |      12.29 |      12.23 |      12.17 |      12.17 |      12.12 |      12.11 |      11.99 |      11.99 |      11.99
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15325 |      15322 |      15323 |      15286 |      15276 |      15259 |      15254 |      15245 |      15214 |      15186 |      15182 |      15182
    num misses                       |         52 |         51 |         51 |         51 |         50 |         50 |         50 |         50 |         49 |         49 |         49 |         49 |         49
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.33% |      0.32% |      0.32% |      0.32% |      0.32% |      0.32%
    mpki                             |       0.43 |       0.42 |       0.42 |       0.42 |       0.41 |       0.41 |       0.41 |       0.41 |       0.40 |       0.40 |       0.41 |       0.41 |       0.41
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      40231 |      40237 |      40231 |      40231 |      40140 |      40116 |      40079 |      40063 |      40033 |      39965 |      39916 |      39911 |      39905
    num misses                       |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         77 |         76 |         76 |         76 |         76 |         76
    miss rate                        |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63 |       0.64 |       0.63 |       0.63 |       0.63 |       0.63 |       0.63
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        129 |        128 |        128 |        128 |        127 |        127 |        127 |        127 |        125 |        125 |        125 |        125 |        125
    num misses                       |        123 |        122 |        122 |        122 |        121 |        121 |        121 |        121 |        119 |        119 |        119 |        119 |        119
    miss rate                        |     95.35% |     95.31% |     95.31% |     95.31% |     95.28% |     95.28% |     95.28% |     95.28% |     95.20% |     95.20% |     95.20% |     95.20% |     95.20%
    mpki                             |       1.01 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       1.00 |       0.98 |       0.98 |       0.98 |       0.98 |       0.98
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      15330 |      15325 |      15322 |      15323 |      15286 |      15276 |      15259 |      15254 |      15245 |      15214 |      15186 |      15182 |      15182
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      40231 |      40237 |      40231 |      40231 |      40140 |      40116 |      40079 |      40063 |      40033 |      39965 |      39916 |      39911 |      39905
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
