                                     | Core 0     | Core 1    
  Instructions                       |     121661 |     121487
  Cycles                             |      85652 |      85652
  IPC                                |       1.42 |       1.42
  Time (ns)                          |      32200 |      32200
  Idle time (ns)                     |       -105 |        -66
  Idle time (%)                      |      -0.3% |      -0.2%
Branch predictor stats               |            |           
  num correct                        |      22012 |      21997
  num incorrect                      |       1514 |       1498
  misprediction rate                 |      6.44% |      6.38%
  mpki                               |      12.44 |      12.33
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |      15330 |      15304
    num misses                       |         52 |         51
    miss rate                        |      0.34% |      0.33%
    mpki                             |       0.43 |       0.42
  D-TLB                              |            |           
    num accesses                     |      40225 |      40184
    num misses                       |         77 |         77
    miss rate                        |      0.19% |      0.19%
    mpki                             |       0.63 |       0.63
  L2 TLB                             |            |           
    num accesses                     |        129 |        128
    num misses                       |        123 |        122
    miss rate                        |     95.35% |     95.31%
    mpki                             |       1.01 |       1.00
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |      15330 |      15304
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L1-D                         |            |           
    num cache accesses               |      40225 |      40184
    num cache misses                 |          0 |          0
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  Cache L2                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
  Cache L3                           |            |           
    num cache accesses               |          0 |          0
    num cache misses                 |          0 |          0
    miss rate                        |       inf% |       inf%
    mpki                             |       0.00 |       0.00
DRAM summary                         |            |           
  num dram accesses                  |          0 |          0
  average dram access latency (ns)   |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |          0 |          0
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
