                        CPI       Time
  base                 0.17      6.72%
  dispatch_width       0.00      0.00%
  rs_full              0.08      3.00%
  depend-int           0.00      0.00%
  depend-fp            0.00      0.00%
  depend-branch        0.00      0.00%
  issue-port0          0.00      0.00%
  issue-port1          0.00      0.00%
  issue-port2          0.00      0.00%
  issue-port34         0.00      0.00%
  issue-port5          0.00      0.00%
  issue-port05         0.00      0.00%
  issue-port015        0.00      0.00%
  serial               0.00      0.02%
  smt                  0.00      0.00%
  branch               0.12      4.75%
  itlb                 0.00      0.00%
  dtlb                 0.00      0.00%
  ifetch               1.07     41.72%
  mem-l1d              0.11      4.37%
  mem-l2               0.01      0.20%
  mem-l3               0.00      0.04%
  mem-l4               0.00      0.00%
  mem-remote           0.00      0.00%
  mem-nuca             0.00      0.00%
  mem-dram-cache       0.00      0.00%
  mem-dram             1.01     39.17%
  sync-futex           0.00      0.00%
  sync-mutex           0.00      0.00%
  sync-cond            0.00      0.00%
  sync-barrier         0.00      0.00%
  sync-join            0.00      0.00%
  sync-pause           0.00      0.00%
  sync-sleep           0.00      0.00%
  sync-syscall         0.00      0.00%
  sync-unscheduled      0.00      0.00%
  sync-memaccess       0.00      0.00%
  sync-recv            0.00      0.00%
  dvfs-transition      0.00      0.00%
  imbalance-start      0.00      0.00%
  imbalance-end        0.00      0.00%

  total                2.57    100.00%
