CPI                  Core 0     Core 1     Core 2     Core 3     Core 4     Core 5   
base                   0.28       0.28       0.27       0.27       0.29       0.28
dispatch_width         0.00       0.00       0.00       0.00       0.00       0.00
rs_full                0.50       0.51       0.51       0.52       0.51       0.52
depend-int             0.00       0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00       0.00
issue-port0            0.00       0.00       0.00       0.00       0.00       0.00
issue-port1            0.00       0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00       0.00
issue-port34           0.00       0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.00       0.00       0.00       0.00       0.00
issue-port05           0.00       0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00       0.00
serial                 0.00       0.00       0.00       0.00       0.00       0.00
smt                    0.51       0.51       0.52       0.54       0.52       0.51
branch                 0.15       0.15       0.14       0.15       0.14       0.15
itlb                   0.00       0.00       0.00       0.00       0.00       0.00
dtlb                   0.00       0.00       0.00       0.00       0.00       0.00
ifetch                 2.06       2.08       2.11       2.08       2.08       2.09
mem-l1d                0.12       0.12       0.11       0.12       0.11       0.12
mem-l2                 0.03       0.03       0.03       0.03       0.03       0.03
mem-l3                 0.11       0.11       0.10       0.11       0.10       0.11
mem-l4                 0.00       0.00       0.00       0.00       0.00       0.00
mem-remote             0.00       0.00       0.00       0.00       0.00       0.00
mem-nuca               0.00       0.00       0.00       0.00       0.00       0.00
mem-dram-cache         0.00       0.00       0.00       0.00       0.00       0.00
mem-dram               1.28       1.26       1.30       1.26       1.30       1.26
sync-futex             0.00       0.00       0.00       0.00       0.00       0.00
sync-mutex             0.00       0.00       0.00       0.00       0.00       0.00
sync-cond              0.00       0.00       0.00       0.00       0.00       0.00
sync-barrier           0.00       0.00       0.00       0.00       0.00       0.00
sync-join              0.00       0.00       0.00       0.00       0.00       0.00
sync-pause             0.00       0.00       0.00       0.00       0.00       0.00
sync-sleep             0.00       0.00       0.00       0.00       0.00       0.00
sync-syscall           0.00       0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.00       0.00       0.00       0.00
sync-memaccess         0.00       0.00       0.00       0.00       0.00       0.00
sync-recv              0.00       0.00       0.00       0.00       0.00       0.00
dvfs-transition        0.00       0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.00       0.00       0.00
imbalance-end         -0.00       0.00      -0.01      -0.01      -0.00      -0.00

total                  5.04       5.05       5.08       5.06       5.09       5.07
