                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |     121648 |     121399 |     121368 |     121302 |     121505
  Cycles                             |     215460 |     215460 |     215460 |     215460 |     215460
  IPC                                |       0.56 |       0.56 |       0.56 |       0.56 |       0.56
  Time (ns)                          |      81000 |      81000 |      81000 |      81000 |      81000
  Idle time (ns)                     |       -131 |        -34 |        -56 |        -34 |        -98
  Idle time (%)                      |      -0.2% |      -0.0% |      -0.1% |      -0.0% |      -0.1%
Branch predictor stats               |            |            |            |            |           
  num correct                        |      22023 |      21999 |      21996 |      21987 |      22013
  num incorrect                      |       1503 |       1482 |       1476 |       1470 |       1493
  misprediction rate                 |      6.39% |      6.31% |      6.29% |      6.27% |      6.35%
  mpki                               |      12.36 |      12.21 |      12.16 |      12.12 |      12.29
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |      15330 |      15287 |      15280 |      15269 |      15313
    num misses                       |         52 |         50 |         50 |         50 |         51
    miss rate                        |      0.34% |      0.33% |      0.33% |      0.33% |      0.33%
    mpki                             |       0.43 |       0.41 |       0.41 |       0.41 |       0.42
  D-TLB                              |            |            |            |            |           
    num accesses                     |      40214 |      40144 |      40127 |      40103 |      40200
    num misses                       |        118 |        118 |        118 |        118 |        118
    miss rate                        |      0.29% |      0.29% |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        170 |        168 |        168 |        168 |        169
    num misses                       |        121 |        119 |        119 |        119 |        120
    miss rate                        |     71.18% |     70.83% |     70.83% |     70.83% |     71.01%
    mpki                             |       0.99 |       0.98 |       0.98 |       0.98 |       0.99
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |      15330 |      15287 |      15280 |      15269 |      15313
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |      40214 |      40144 |      40127 |      40103 |      40200
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L3                           |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |          0 |          0 |          0 |          0 |          0
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
