CPI                  Core 0     Core 1     Core 2     Core 3     Core 4   
base                   0.14       0.12       0.14       0.14       0.13
dispatch_width         0.00       0.00       0.00       0.00       0.00
rs_full                1.43       1.51       1.46       1.47       1.52
depend-int             0.00       0.00       0.00       0.00       0.00
depend-fp              0.00       0.00       0.00       0.00       0.00
depend-branch          0.00       0.00       0.00       0.00       0.00
issue-port0            0.00       0.00       0.00       0.00       0.00
issue-port1            0.00       0.00       0.00       0.00       0.00
issue-port2            0.00       0.00       0.00       0.00       0.00
issue-port34           0.00       0.00       0.00       0.00       0.00
issue-port5            0.00       0.00       0.00       0.00       0.00
issue-port05           0.00       0.00       0.00       0.00       0.00
issue-port015          0.00       0.00       0.00       0.00       0.00
serial                 0.00       0.00       0.00       0.00       0.00
smt                    0.74       0.83       0.76       0.79       0.83
branch                 0.13       0.13       0.13       0.12       0.12
itlb                   0.00       0.00       0.00       0.00       0.00
dtlb                   0.00       0.00       0.00       0.00       0.00
ifetch                 2.51       2.57       2.58       2.62       2.58
mem-l1d                0.18       0.16       0.18       0.17       0.17
mem-l2                 0.03       0.03       0.03       0.03       0.03
mem-l3                 0.07       0.07       0.07       0.07       0.07
mem-l4                 0.00       0.00       0.00       0.00       0.00
mem-remote             0.00       0.00       0.00       0.00       0.00
mem-nuca               0.00       0.00       0.00       0.00       0.00
mem-dram-cache         0.00       0.00       0.00       0.00       0.00
mem-dram               0.88       0.76       0.79       0.83       0.74
sync-futex             0.00       0.00       0.00       0.00       0.00
sync-mutex             0.00       0.00       0.00       0.00       0.00
sync-cond              0.00       0.00       0.00       0.00       0.00
sync-barrier           0.00       0.00       0.00       0.00       0.00
sync-join              0.00       0.00       0.00       0.00       0.00
sync-pause             0.00       0.00       0.00       0.00       0.00
sync-sleep             0.00       0.00       0.00       0.00       0.00
sync-syscall           0.00       0.00       0.00       0.00       0.00
sync-unscheduled        0.00       0.00       0.00       0.00       0.00
sync-memaccess         0.00       0.00       0.00       0.00       0.00
sync-recv              0.00       0.00       0.00       0.00       0.00
dvfs-transition        0.00       0.00       0.00       0.00       0.00
imbalance-start        0.00       0.00       0.00       0.00       0.00
imbalance-end         -0.00      -0.00       0.00      -0.00      -0.03

total                  6.11       6.17       6.13       6.23       6.16
