                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10   
  Instructions                       |     121632 |     120990 |     118769 |     120427 |     117449 |     119179 |     118703 |     117199 |     116471 |     117449 |     118567
  Cycles                             |     896686 |     896686 |     896686 |     896686 |     896686 |     896686 |     896686 |     896686 |     896686 |     896686 |     896686
  IPC                                |       0.14 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13 |       0.13
  Time (ns)                          |     337100 |     337100 |     337100 |     337100 |     337100 |     337100 |     337100 |     337100 |     337100 |     337100 |     337100
  Idle time (ns)                     |        -81 |         77 |        656 |        365 |        471 |        336 |        510 |        -81 |        119 |        -27 |        -27
  Idle time (%)                      |      -0.0% |       0.0% |       0.2% |       0.1% |       0.1% |       0.1% |       0.2% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |      22023 |      21948 |      21562 |      21912 |      21415 |      21650 |      21552 |      21395 |      21291 |      21415 |      21546
  num incorrect                      |       1503 |       1452 |       1354 |       1414 |       1342 |       1369 |       1353 |       1332 |       1331 |       1342 |       1348
  misprediction rate                 |      6.39% |      6.21% |      5.91% |      6.06% |      5.90% |      5.95% |      5.91% |      5.86% |      5.88% |      5.90% |      5.89%
  mpki                               |      12.36 |      12.00 |      11.40 |      11.74 |      11.43 |      11.49 |      11.40 |      11.37 |      11.43 |      11.43 |      11.37
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      15330 |      15209 |      14995 |      15119 |      14864 |      15023 |      14990 |      14820 |      14741 |      14864 |      14971
    num misses                       |         52 |         49 |         45 |         45 |         42 |         45 |         45 |         41 |         41 |         42 |         44
    miss rate                        |      0.34% |      0.32% |      0.30% |      0.30% |      0.28% |      0.30% |      0.30% |      0.28% |      0.28% |      0.28% |      0.29%
