                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |     120934 |     121651 |     121489
  Cycles                             |     474544 |     474544 |     474544
  IPC                                |       0.25 |       0.26 |       0.26
  Time (ns)                          |     178400 |     178400 |     178400
  Idle time (ns)                     |      -1297 |      -1297 |        -27
  Idle time (%)                      |      -0.7% |      -0.7% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |      21943 |      22023 |      22011
  num incorrect                      |       1443 |       1503 |       1488
  misprediction rate                 |      6.17% |      6.39% |      6.33%
  mpki                               |      11.93 |      12.36 |      12.25
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |      15194 |      15330 |      15307
    num misses                       |         49 |         52 |         51
    miss rate                        |      0.32% |      0.34% |      0.33%
    mpki                             |       0.41 |       0.43 |       0.42
  D-TLB                              |            |            |           
    num accesses                     |      39938 |      40216 |      40182
    num misses                       |        117 |        118 |        118
    miss rate                        |      0.29% |      0.29% |      0.29%
    mpki                             |       0.97 |       0.97 |       0.97
  L2 TLB                             |            |            |           
    num accesses                     |        166 |        170 |        169
    num misses                       |        117 |        121 |        120
    miss rate                        |     70.48% |     71.18% |     71.01%
    mpki                             |       0.97 |       0.99 |       0.99
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |      15194 |      15330 |      15307
    num cache misses                 |       1342 |       1422 |       1422
    miss rate                        |      8.83% |      9.28% |      9.29%
    mpki                             |      11.10 |      11.69 |      11.70
  Cache L1-D                         |            |            |           
    num cache accesses               |      39938 |      40216 |      40182
    num cache misses                 |       2352 |       2363 |       2387
    miss rate                        |      5.89% |      5.88% |      5.94%
    mpki                             |      19.45 |      19.42 |      19.65
  Cache L2                           |            |            |           
    num cache accesses               |       3734 |       3825 |       3849
    num cache misses                 |       2677 |       2738 |       2718
    miss rate                        |     71.69% |     71.58% |     70.62%
    mpki                             |      22.14 |      22.51 |      22.37
  Cache L3                           |            |            |           
    num cache accesses               |       2718 |       2780 |       2759
    num cache misses                 |       2424 |       2475 |       2459
    miss rate                        |     89.18% |     89.03% |     89.13%
    mpki                             |      20.04 |      20.35 |      20.24
DRAM summary                         |            |            |           
  num dram accesses                  |       7358 |          0 |          0
  average dram access latency (ns)   |      70.24 |        inf |        inf
  average dram queueing delay        |      16.81 |       0.00 |       0.00
  average dram bandwidth utilization |     34.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |       1125 |       1135 |       1130
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
