                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9    
  Instructions                       |   78256665 |   77201450 |   76861196 |   77092865 |   76467514 |   76568909 |   76851660 |   76260214 |   76474519 |   76743408
  Cycles                             |  495529272 |  495529272 |  495529272 |  495529272 |  495529272 |  495529272 |  495529272 |  495529272 |  495529272 |  495529272
  IPC                                |       0.16 |       0.16 |       0.16 |       0.16 |       0.15 |       0.15 |       0.16 |       0.15 |       0.15 |       0.15
  Time (ns)                          |  186289200 |  186289200 |  186289200 |  186289200 |  186289200 |  186289200 |  186289200 |  186289200 |  186289200 |  186289200
  Idle time (ns)                     |        -35 |         75 |        133 |        160 |        -35 |        133 |        174 |         39 |         10 |         58
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171907 |    2143000 |    2133688 |    2140030 |    2122913 |    2125687 |    2133427 |    2117237 |    2123104 |    2130463
  num incorrect                      |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8525013 |    8410358 |    8373398 |    8398565 |    8330631 |    8341644 |    8372362 |    8308110 |    8331391 |    8360600
    num misses                       |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36055596 |   35570460 |   35414009 |   35520537 |   35233004 |   35279626 |   35409635 |   35137691 |   35236217 |   35359858
    num misses                       |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8525013 |    8410358 |    8373398 |    8398565 |    8330631 |    8341644 |    8372362 |    8308110 |    8331391 |    8360600
    num cache misses                 |    2936685 |    2837166 |    2794993 |    2781676 |    2746751 |    2738143 |    2737982 |    2710701 |    2712367 |    2717005
    miss rate                        |     34.45% |     33.73% |     33.38% |     33.12% |     32.97% |     32.82% |     32.70% |     32.63% |     32.56% |     32.50%
    mpki                             |      37.53 |      36.75 |      36.36 |      36.08 |      35.92 |      35.76 |      35.63 |      35.55 |      35.47 |      35.40
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36055596 |   35570460 |   35414009 |   35520537 |   35233004 |   35279626 |   35409635 |   35137691 |   35236217 |   35359858
    num cache misses                 |    8015770 |    8003244 |    8014631 |    7994926 |    7978288 |    8004313 |    8002250 |    7959518 |    7994403 |    7997581
    miss rate                        |     22.23% |     22.50% |     22.63% |     22.51% |     22.64% |     22.69% |     22.60% |     22.65% |     22.69% |     22.62%
    mpki                             |     102.43 |     103.67 |     104.27 |     103.71 |     104.34 |     104.54 |     104.13 |     104.37 |     104.54 |     104.21
  Cache L2                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   10952473 |   10840425 |   10809636 |   10776617 |   10725051 |   10742468 |   10740247 |   10670231 |   10706782 |   10714597
    num cache misses                 |    7992266 |    8188824 |    8304002 |    8207416 |    8376183 |    8377889 |    8268234 |    8408099 |    8409411 |    8302624
    miss rate                        |     72.97% |     75.54% |     76.82% |     76.16% |     78.10% |     77.99% |     76.98% |     78.80% |     78.54% |     77.49%
    mpki                             |     102.13 |     106.07 |     108.04 |     106.46 |     109.54 |     109.42 |     107.59 |     110.26 |     109.96 |     108.19
  Cache L3                           |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    7992284 |    8188839 |    8304016 |    8207431 |    8376198 |    8377905 |    8268249 |    8408113 |    8409425 |    8302638
    num cache misses                 |       3844 |       3776 |       3768 |       3770 |       3763 |       3765 |       3767 |       3760 |       3763 |       3767
    miss rate                        |      0.05% |      0.05% |      0.05% |      0.05% |      0.04% |      0.04% |      0.05% |      0.04% |      0.04% |      0.05%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      38075 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      64.02 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.59 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2612 |       2564 |       2666 |       2606 |       2630 |       2620 |       2603 |       2611 |       2579 |       2631
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
