                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   78041520 |   77957681 |   77462899 |   77561844 |   77675338 |   77803190 |   77883072 |   78037209 |   78173809 |   78256754 |   77931944 |   78175826
  Cycles                             |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524 |  507478524
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400 |  190781400
  Idle time (ns)                     |         83 |        -18 |         39 |        113 |         99 |        -79 |        -18 |        -40 |        -19 |        -79 |         83 |         54
  Idle time (%)                      |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2165994 |    2163701 |    2150156 |    2152864 |    2155972 |    2159472 |    2161658 |    2165876 |    2169615 |    2171907 |    2162995 |    2169671
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8501619 |    8492513 |    8438761 |    8449510 |    8461840 |    8475730 |    8484407 |    8501151 |    8515991 |    8525013 |    8489716 |    8516211
    num misses                       |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   35956708 |   35918173 |   35690677 |   35736169 |   35788354 |   35847134 |   35883867 |   35954738 |   36017540 |   36055633 |   35906335 |   36018475
    num misses                       |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8501619 |    8492513 |    8438761 |    8449510 |    8461840 |    8475730 |    8484407 |    8501151 |    8515991 |    8525013 |    8489716 |    8516211
    num cache misses                 |    2904094 |    2858188 |    2819326 |    2804057 |    2793398 |    2786666 |    2780310 |    2778652 |    2774553 |    2773118 |    2760552 |    2766033
    miss rate                        |     34.16% |     33.66% |     33.41% |     33.19% |     33.01% |     32.88% |     32.77% |     32.69% |     32.58% |     32.53% |     32.52% |     32.48%
    mpki                             |      37.21 |      36.66 |      36.40 |      36.15 |      35.96 |      35.82 |      35.70 |      35.61 |      35.49 |      35.44 |      35.42 |      35.38
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   35956708 |   35918173 |   35690677 |   35736169 |   35788354 |   35847134 |   35883867 |   35954738 |   36017540 |   36055633 |   35906335 |   36018475
    num cache misses                 |   12502129 |   12550841 |   12528291 |   12566299 |   12590614 |   12608438 |   12622692 |   12642661 |   12605977 |   12614157 |   12631615 |   12647765
    miss rate                        |     34.77% |     34.94% |     35.10% |     35.16% |     35.18% |     35.17% |     35.18% |     35.16% |     35.00% |     34.99% |     35.18% |     35.11%
    mpki                             |     160.20 |     161.00 |     161.73 |     162.02 |     162.09 |     162.06 |     162.07 |     162.01 |     161.26 |     161.19 |     162.09 |     161.79
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   15406237 |   15409043 |   15347630 |   15370369 |   15384023 |   15395117 |   15403015 |   15421325 |   15380544 |   15387294 |   15392180 |   15413811
    num cache misses                 |   13212091 |   13252338 |   13348846 |   13370139 |   13368687 |   13355350 |   13357126 |   13333278 |   13265771 |   13249297 |   13357684 |   13300504
