                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |   78246300 |   78247628 |   78248169 |   78256506 |   78249866 |   78255311 |   78255191 |   78250428 |   78247648 |   78256051 |   78251883 |   78247590 |   78248808 |   78252189 |   78256678
  Cycles                             |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702 |   31852702
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700 |   11974700
  Idle time (ns)                     |         97 |         39 |        100 |         -0 |         41 |         44 |         42 |         14 |        100 |         37 |         44 |         43 |         39 |         44 |         51
  Idle time (%)                      |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171598 |    2171636 |    2171650 |    2171885 |    2171696 |    2171845 |    2171842 |    2171711 |    2171636 |    2171865 |    2171752 |    2171634 |    2171667 |    2171760 |    2171907
  num incorrect                      |        981 |        981 |        981 |       1005 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8523863 |    8524010 |    8524068 |    8524986 |    8524252 |    8524843 |    8524830 |    8524312 |    8524012 |    8524923 |    8524472 |    8524004 |    8524136 |    8524504 |    8525013
    num misses                       |         40 |         40 |         40 |         41 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36050875 |   36051487 |   36051735 |   36055565 |   36052515 |   36055018 |   36054964 |   36052773 |   36051496 |   36055359 |   36053443 |   36051469 |   36052029 |   36053584 |   36055649
    num misses                       |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        114
    num misses                       |        109 |        109 |        109 |        110 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        112
    miss rate                        |    100.00% |    100.00% |    100.00% |     98.21% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8523863 |    8524010 |    8524068 |    8524986 |    8524252 |    8524843 |    8524830 |    8524312 |    8524012 |    8524923 |    8524472 |    8524004 |    8524136 |    8524504 |    8525013
    num cache misses                 |        437 |        437 |        437 |        456 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        437 |        474
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36050875 |   36051487 |   36051735 |   36055565 |   36052515 |   36055018 |   36054964 |   36052773 |   36051496 |   36055359 |   36053443 |   36051469 |   36052029 |   36053584 |   36055649
    num cache misses                 |    2119324 |    2119362 |    2119377 |    2119613 |    2119422 |    2119571 |    2119568 |    2119438 |    2119362 |    2119592 |    2119479 |    2119361 |    2119394 |    2119487 |    2119624
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88%
