                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   78243412 |   78247203 |   78242864 |   78242287 |   78252281 |   78256705 |   78249430 |   78241786 |   78245129 |   78240413 |   78246189 |   78242027 |   78242161 |   78238634 |   78234443 |   78234784
  Cycles                             |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026 |  507890026
  IPC                                |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15 |       0.15
  Time (ns)                          |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100 |  190936100
  Idle time (ns)                     |         43 |         22 |        -36 |        159 |         11 |        -39 |         -2 |         22 |        -39 |        147 |        123 |        159 |         98 |         26 |        -36 |         61
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |      -0.0% |      -0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2171520 |    2171624 |    2171505 |    2171490 |    2171763 |    2171907 |    2171684 |    2171475 |    2171567 |    2171438 |    2171595 |    2171481 |    2171486 |    2171389 |    2171275 |    2171284
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    8523552 |    8523964 |    8523492 |    8523431 |    8524516 |    8525013 |    8524204 |    8523374 |    8523738 |    8523226 |    8523852 |    8523400 |    8523416 |    8523032 |    8522577 |    8522615
    num misses                       |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   36049548 |   36051289 |   36049294 |   36049030 |   36053627 |   36055610 |   36052315 |   36048797 |   36050329 |   36048171 |   36050826 |   36048910 |   36048972 |   36047352 |   36045422 |   36045581
    num misses                       |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    8523552 |    8523964 |    8523492 |    8523431 |    8524516 |    8525013 |    8524204 |    8523374 |    8523738 |    8523226 |    8523852 |    8523400 |    8523416 |    8523032 |    8522577 |    8522615
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   36049548 |   36051289 |   36049294 |   36049030 |   36053627 |   36055610 |   36052315 |   36048797 |   36050329 |   36048171 |   36050826 |   36048910 |   36048972 |   36047352 |   36045422 |   36045581
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num cache misses                 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                        |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf% |       inf%
