                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   77125507 |   77395656 |   77500978 |   78191794 |   77662030 |   77742738 |   77815133 |   77840951 |   77916322 |   77887674 |   78085115 |   78256603 |   77920415 |   78142721 |   78147051 |   78256686
  Cycles                             |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848 |  897331848
  IPC                                |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09 |       0.09
  Time (ns)                          |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800 |  337342800
  Idle time (ns)                     |        -14 |        253 |        253 |        -43 |        253 |         94 |        226 |        164 |        226 |        213 |         38 |        644 |        161 |        230 |       -142 |       -142
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2140922 |    2148316 |    2151198 |    2170107 |    2155608 |    2157817 |    2159799 |    2160505 |    2162568 |    2161784 |    2167187 |    2171899 |    2162680 |    2168765 |    2168883 |    2171907
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |        981 |       1013 |        981 |        981 |        981 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
