                                     | Core 0     | Core 1     | Core 2    
  Instructions                       |   78016478 |   78256709 |   77800117
  Cycles                             |   95132506 |   95132506 |   95132506
  IPC                                |       0.82 |       0.82 |       0.82
  Time (ns)                          |   35764100 |   35764100 |   35764100
  Idle time (ns)                     |        -33 |        -32 |        -32
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |           
  num correct                        |    2165307 |    2171907 |    2159387
  num incorrect                      |        981 |       1022 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |           
  I-TLB                              |            |            |           
    num accesses                     |    8498891 |    8525013 |    8475395
    num misses                       |         40 |         43 |         40
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |           
    num accesses                     |   35945165 |   36055615 |   35845717
    num misses                       |         69 |         71 |         69
    miss rate                        |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |           
    num accesses                     |        109 |        114 |        109
    num misses                       |        109 |        112 |        109
    miss rate                        |    100.00% |     98.25% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |           
  Cache L1-I                         |            |            |           
    num cache accesses               |    8498891 |    8525013 |    8475395
    num cache misses                 |       1562 |       1577 |       1567
    miss rate                        |      0.02% |      0.02% |      0.02%
    mpki                             |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |           
    num cache accesses               |   35945165 |   36055615 |   35845717
    num cache misses                 |    2150606 |    2156993 |    2144618
    miss rate                        |      5.98% |      5.98% |      5.98%
    mpki                             |      27.57 |      27.56 |      27.57
  Cache L2                           |            |            |           
    num cache accesses               |    2152184 |    2158590 |    2146200
    num cache misses                 |      12304 |      11209 |      11466
    miss rate                        |      0.57% |      0.52% |      0.53%
    mpki                             |       0.16 |       0.14 |       0.15
  Cache L3                           |            |            |           
    num cache accesses               |      12322 |      11231 |      11482
    num cache misses                 |       3774 |       3825 |       3771
    miss rate                        |     30.63% |     34.06% |     32.84%
    mpki                             |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |           
  num dram accesses                  |      11370 |          0 |          0
  average dram access latency (ns)   |      59.50 |        inf |        inf
  average dram queueing delay        |       6.08 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |           
  num loads from dram                |        741 |        881 |        911
  num loads from dram cache          |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0
