                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4    
  Instructions                       |   78256622 |   78256622 |   78256678 |   78256589 |   78256639
  Cycles                             |   31845520 |   31845520 |   31845520 |   31845520 |   31845520
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11972000 |   11972000 |   11972000 |   11972000 |   11972000
  Idle time (ns)                     |        -24 |        -69 |         40 |        -35 |        -50
  Idle time (%)                      |      -0.0% |      -0.0% |       0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |           
  num correct                        |    2171901 |    2171901 |    2171907 |    2171898 |    2171904
  num incorrect                      |       1016 |       1016 |       1022 |       1010 |       1018
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |           
  I-TLB                              |            |            |            |            |           
    num accesses                     |    8525006 |    8525006 |    8525013 |    8525001 |    8525006
    num misses                       |         42 |         42 |         43 |         42 |         42
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |           
    num accesses                     |   36055625 |   36055626 |   36055649 |   36055607 |   36055633
    num misses                       |         71 |         71 |         71 |         71 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |           
    num accesses                     |        113 |        113 |        114 |        113 |        113
    num misses                       |        111 |        111 |        112 |        111 |        111
    miss rate                        |     98.23% |     98.23% |     98.25% |     98.23% |     98.23%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |           
    num cache accesses               |    8525006 |    8525006 |    8525013 |    8525001 |    8525006
    num cache misses                 |        469 |        469 |        474 |        465 |        469
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |           
    num cache accesses               |   36055625 |   36055626 |   36055649 |   36055607 |   36055633
    num cache misses                 |    2119623 |    2119624 |    2119624 |    2119623 |    2119624
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |            |            |           
    num cache accesses               |    2120113 |    2120114 |    2120121 |    2120108 |    2120116
    num cache misses                 |       3822 |       3823 |       3828 |       3818 |       3823
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |           
    num cache accesses               |       3844 |       3845 |       3852 |       3839 |       3847
    num cache misses                 |       3820 |       3821 |       3826 |       3816 |       3821
    miss rate                        |     99.38% |     99.38% |     99.33% |     99.40% |     99.32%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |           
  num dram accesses                  |       9556 |          0 |          0 |          0 |       9548
  average dram access latency (ns)   |      62.92 |        inf |        inf |        inf |      62.35
  average dram queueing delay        |       9.49 |       0.00 |       0.00 |       0.00 |       8.92
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |           
  num loads from dram                |        164 |        165 |        165 |        164 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0
