                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   78246754 |   78250378 |   78256635 |   78250127 |   78256484 |   78256678
  Cycles                             |   31850042 |   31850042 |   31850042 |   31850042 |   31850042 |   31850042
  IPC                                |       2.46 |       2.46 |       2.46 |       2.46 |       2.46 |       2.46
  Time (ns)                          |   11973700 |   11973700 |   11973700 |   11973700 |   11973700 |   11973700
  Idle time (ns)                     |         70 |         70 |        -52 |         65 |         62 |         52
  Idle time (%)                      |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2171610 |    2171710 |    2171904 |    2171703 |    2171884 |    2171907
  num incorrect                      |        981 |        981 |       1017 |        981 |       1001 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    8523912 |    8524307 |    8525006 |    8524280 |    8524983 |    8525013
    num misses                       |         40 |         40 |         42 |         40 |         41 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   36051083 |   36052750 |   36055631 |   36052635 |   36055555 |   36055649
    num misses                       |         69 |         69 |         71 |         69 |         71 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        113 |        109 |        112 |        114
    num misses                       |        109 |        109 |        111 |        109 |        110 |        112
    miss rate                        |    100.00% |    100.00% |     98.23% |    100.00% |     98.21% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    8523912 |    8524307 |    8525006 |    8524280 |    8524983 |    8525013
    num cache misses                 |        437 |        437 |        469 |        437 |        455 |        474
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   36051083 |   36052750 |   36055631 |   36052635 |   36055555 |   36055649
    num cache misses                 |    2119338 |    2119436 |    2119624 |    2119429 |    2119613 |    2119624
    miss rate                        |      5.88% |      5.88% |      5.88% |      5.88% |      5.88% |      5.88%
    mpki                             |      27.09 |      27.09 |      27.09 |      27.09 |      27.09 |      27.09
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    2119792 |    2119890 |    2120115 |    2119883 |    2120087 |    2120121
    num cache misses                 |       3776 |       3776 |       3823 |       3776 |       3798 |       3828
    miss rate                        |      0.18% |      0.18% |      0.18% |      0.18% |      0.18% |      0.18%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |       3794 |       3794 |       3846 |       3794 |       3818 |       3852
    num cache misses                 |       3776 |       3776 |       3821 |       3776 |       3796 |       3826
    miss rate                        |     99.53% |     99.53% |     99.35% |     99.53% |     99.42% |     99.33%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      11390 |          0 |          0 |          0 |      11381 |          0
  average dram access latency (ns)   |      68.44 |        inf |        inf |        inf |      67.51 |        inf
  average dram queueing delay        |      15.01 |       0.00 |       0.00 |       0.00 |      14.08 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |        151 |        151 |        165 |        151 |        154 |        165
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
