                                     | Core 0    
  Instructions                       |  467616049
  Cycles                             |  191706466
  IPC                                |       2.44
  Time (ns)                          |   72070100
  Idle time (ns)                     |      -1132
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |   12978856
  num incorrect                      |       5716
  misprediction rate                 |      0.04%
  mpki                               |       0.01
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   50940957
    num misses                       |        313
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  215448925
    num misses                       |       1850
    miss rate                        |      0.00%
    mpki                             |       0.00
  L2 TLB                             |           
    num accesses                     |       2163
    num misses                       |       1254
    miss rate                        |     57.98%
    mpki                             |       0.00
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   50940957
    num cache misses                 |       3001
    miss rate                        |      0.01%
    mpki                             |       0.01
  Cache L1-D                         |           
    num cache accesses               |  215448925
    num cache misses                 |   12666080
    miss rate                        |      5.88%
    mpki                             |      27.09
  Cache L2                           |           
    num cache accesses               |   12675319
    num cache misses                 |      97921
    miss rate                        |      0.77%
    mpki                             |       0.21
  Cache L3                           |           
    num cache accesses               |     104165
    num cache misses                 |      22686
    miss rate                        |     21.78%
    mpki                             |       0.05
DRAM summary                         |           
  num dram accesses                  |      22686
  average dram access latency (ns)   |      58.01
  average dram queueing delay        |       4.58
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |       7050
  num loads from dram cache          |          0
  num loads from remote cache        |          0
