                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   78162723 |   78162733 |   78233738 |   78115267 |   78256503 |   78170901 |   78243604 |   78256734
  Cycles                             |  278439224 |  278439224 |  278439224 |  278439224 |  278439224 |  278439224 |  278439224 |  278439224
  IPC                                |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28 |       0.28
  Time (ns)                          |  104676400 |  104676400 |  104676400 |  104676400 |  104676400 |  104676400 |  104676400 |  104676400
  Idle time (ns)                     |        -44 |         49 |         81 |        -75 |        445 |          3 |         49 |        -75
  Idle time (%)                      |      -0.0% |       0.0% |       0.0% |      -0.0% |       0.0% |       0.0% |       0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2169312 |    2169312 |    2171255 |    2168013 |    2171885 |    2169536 |    2171525 |    2171907
  num incorrect                      |        981 |        981 |        981 |        981 |       1006 |        981 |        981 |       1022
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    8514788 |    8514787 |    8522500 |    8509632 |    8524986 |    8515676 |    8523572 |    8525013
    num misses                       |         40 |         40 |         40 |         40 |         41 |         40 |         40 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   36012448 |   36012451 |   36045098 |   35990629 |   36055563 |   36016212 |   36049636 |   36055627
    num misses                       |         69 |         69 |         69 |         69 |         71 |         69 |         69 |         71
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        112 |        109 |        109 |        114
    num misses                       |        109 |        109 |        109 |        109 |        110 |        109 |        109 |        112
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |     98.21% |    100.00% |    100.00% |     98.25%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    8514788 |    8514787 |    8522500 |    8509632 |    8524986 |    8515676 |    8523572 |    8525013
    num cache misses                 |    2840706 |    2824881 |    2806691 |    2789653 |    2783655 |    2772503 |    2769484 |    2765069
    miss rate                        |     33.36% |     33.18% |     32.93% |     32.78% |     32.65% |     32.56% |     32.49% |     32.43%
    mpki                             |      36.34 |      36.14 |      35.88 |      35.71 |      35.57 |      35.47 |      35.40 |      35.33
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   36012448 |   36012451 |   36045098 |   35990629 |   36055563 |   36016212 |   36049636 |   36055627
    num cache misses                 |    3038211 |    3043537 |    3070545 |    3059468 |    3058889 |    3062590 |    3082182 |    3077467
    miss rate                        |      8.44% |      8.45% |      8.52% |      8.50% |      8.48% |      8.50% |      8.55% |      8.54%
    mpki                             |      38.87 |      38.94 |      39.25 |      39.17 |      39.09 |      39.18 |      39.39 |      39.33
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    5878931 |    5868432 |    5877250 |    5849134 |    5842559 |    5835106 |    5851679 |    5842553
    num cache misses                 |     914166 |     952325 |     999684 |    1055449 |     976067 |    1039628 |    1074105 |    1050438
    miss rate                        |     15.55% |     16.23% |     17.01% |     18.04% |     16.71% |     17.82% |     18.36% |     17.98%
    mpki                             |      11.70 |      12.18 |      12.78 |      13.51 |      12.47 |      13.30 |      13.73 |      13.42
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     914181 |     952340 |     999699 |    1055463 |     976083 |    1039642 |    1074119 |    1050456
    num cache misses                 |       3776 |       3776 |       3776 |       3775 |       3797 |       3776 |       3776 |       3826
    miss rate                        |      0.41% |      0.40% |      0.38% |      0.36% |      0.39% |      0.36% |      0.35% |      0.36%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      30278 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      63.65 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      10.22 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1134 |       1134 |       1113 |       1127 |       1131 |       1110 |       1149 |       1144
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
