                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   78169731 |   77642402 |   77045558 |   74624915 |   78228798 |   78256678 |   72842566 |   77470110
  Cycles                             |  149262974 |  149262974 |  149262974 |  149262974 |  149262974 |  149262974 |  149262974 |  149262974
  IPC                                |       0.52 |       0.52 |       0.52 |       0.50 |       0.52 |       0.52 |       0.49 |       0.52
  Time (ns)                          |   56113900 |   56113900 |   56113900 |   56113900 |   56113900 |   56113900 |   56113900 |   56113900
  Idle time (ns)                     |        -13 |        -36 |        -24 |         -6 |        -10 |         -3 |        -13 |        -10
  Idle time (%)                      |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2169503 |    2155069 |    2138735 |    2072478 |    2171120 |    2171907 |    2023693 |    2150354
  num incorrect                      |        981 |        981 |        981 |        981 |        981 |       1022 |        981 |        981
  misprediction rate                 |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
  mpki                               |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    8515547 |    8458261 |    8393426 |    8130461 |    8521964 |    8525013 |    7936839 |    8439545
    num misses                       |         40 |         40 |         40 |         40 |         40 |         43 |         40 |         40
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   36015670 |   35773208 |   35498786 |   34385792 |   36042829 |   36055649 |   33566282 |   35693990
    num misses                       |         69 |         69 |         69 |         69 |         69 |         71 |         69 |         69
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |        109 |        109 |        109 |        109 |        109 |        114 |        109 |        109
    num misses                       |        109 |        109 |        109 |        109 |        109 |        112 |        109 |        109
    miss rate                        |    100.00% |    100.00% |    100.00% |    100.00% |    100.00% |     98.25% |    100.00% |    100.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    8515547 |    8458261 |    8393426 |    8130461 |    8521964 |    8525013 |    7936839 |    8439545
    num cache misses                 |    6742472 |    6722686 |    6735245 |    6687818 |    6767178 |    6730259 |    6639382 |    6743157
    miss rate                        |     79.18% |     79.48% |     80.24% |     82.26% |     79.41% |     78.95% |     83.65% |     79.90%
    mpki                             |      86.25 |      86.59 |      87.42 |      89.62 |      86.50 |      86.00 |      91.15 |      87.04
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   36015670 |   35773208 |   35498786 |   34385792 |   36042829 |   36055649 |   33566282 |   35693990
    num cache misses                 |    2846880 |    2823852 |    2810668 |    2738331 |    2846053 |    2843115 |    2678808 |    2820389
    miss rate                        |      7.90% |      7.89% |      7.92% |      7.96% |      7.90% |      7.89% |      7.98% |      7.90%
    mpki                             |      36.42 |      36.37 |      36.48 |      36.69 |      36.38 |      36.33 |      36.78 |      36.41
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |    9589366 |    9546552 |    9545927 |    9426163 |    9613245 |    9573393 |    9318204 |    9563559
    num cache misses                 |     477139 |     467247 |     479136 |     460423 |     500730 |     494474 |     439313 |     474234
    miss rate                        |      4.98% |      4.89% |      5.02% |      4.88% |      5.21% |      5.17% |      4.71% |      4.96%
    mpki                             |       6.10 |       6.02 |       6.22 |       6.17 |       6.40 |       6.32 |       6.03 |       6.12
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |     477154 |     467262 |     479152 |     460439 |     500745 |     494494 |     439329 |     474248
    num cache misses                 |       3776 |       3769 |       3761 |       3729 |       3776 |       3826 |       3706 |       3766
    miss rate                        |      0.79% |      0.81% |      0.78% |      0.81% |      0.75% |      0.77% |      0.84% |      0.79%
    mpki                             |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      30109 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     137.10 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      83.67 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       1020 |       1038 |        965 |        896 |       1064 |       1063 |        852 |       1013
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
